"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.P.F3.L._T.M.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.P.F3.L._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Long-term debt-securities / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:41,
1991-01,1899.532,
1991-04,3758.306,
1991-07,-274.032,
1991-10,1067.980,
1992-01,4475.232,
1992-04,4027.582,
1992-07,-5055.573,
1992-10,493.980,
1993-01,4700.536,
1993-04,3046.522,
1993-07,-1527.222,
1993-10,191.151,
1994-01,3581.764,
1994-04,2277.975,
1994-07,3903.645,
1994-10,4185.171,
1995-01,1989.355,
1995-04,3545.803,
1995-07,4273.850,
1995-10,2499.048,
1996-01,4017.557,
1996-04,2478.938,
1996-07,2452.946,
1996-10,1710.288,
1997-01,6761.132,
1997-04,14350.886,
1997-07,16152.670,
1997-10,4584.314,
1998-01,12447.097,
1998-04,19223.438,
1998-07,5788.435,
1998-10,19109.842,
1999-01,36257.185,
1999-04,28120.922,
1999-07,18391.890,
1999-10,11825.390,
2000-01,30553.093,
2000-04,10200.789,
2000-07,20106.228,
2000-10,9269.616,
2001-01,34346.051,
2001-04,27947.383,
2001-07,6512.305,
2001-10,26261.653,
2002-01,14407.166,
2002-04,16934.138,
2002-07,9183.079,
2002-10,6945.001,
2003-01,14726.584,
2003-04,25381.523,
2003-07,3860.232,
2003-10,10289.881,
2004-01,26141.014,
2004-04,25715.825,
2004-07,18173.671,
2004-10,18210.912,
2005-01,54392.625,
2005-04,43502.074,
2005-07,7616.527,
2005-10,31517.342,
2006-01,42378.175,
2006-04,33406.082,
2006-07,11978.322,
2006-10,44773.514,
2007-01,61146.571,
2007-04,37384.599,
2007-07,43.021,
2007-10,2580.260,
2008-01,25039.683,
2008-04,29307.599,
2008-07,-8167.010,
2008-10,-18172.080,
2009-01,16479.449,
2009-04,27144.093,
2009-07,20882.403,
2009-10,19968.903,
2010-01,20211.851,
2010-04,2412.199,
2010-07,16080.631,
2010-10,115246.442,
2011-01,19539.016,
2011-04,-7234.963,
2011-07,-3255.219,
2011-10,9223.511,
2012-01,30937.047,
2012-04,3100.752,
2012-07,17658.657,
2012-10,24790.433,
2013-01,20355.075,
2013-04,32006.535,
2013-07,16610.062,
2013-10,17703.989,
2014-01,22486.593,
2014-04,27554.298,
2014-07,16157.595,
