"",BBK01.OEHB16U,BBK01.OEHB16U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:37,
2002-01,1.695,
2002-04,1.724,
2002-07,1.729,
2002-10,1.738,
2003-01,1.730,
2003-04,1.738,
2003-07,1.743,
2003-10,1.762,
2004-01,1.720,
2004-04,1.730,
2004-07,1.715,
2004-10,1.721,
2005-01,1.693,
2005-04,1.703,
2005-07,1.688,
2005-10,1.696,
2006-01,1.661,
2006-04,1.667,
2006-07,1.663,
2006-10,1.680,
2007-01,1.656,
2007-04,1.658,
2007-07,1.643,
2007-10,1.652,
2008-01,1.649,
2008-04,1.652,
2008-07,1.660,
2008-10,1.655,
2009-01,1.630,
2009-04,1.630,
2009-07,1.633,
2009-10,1.628,
2010-01,1.616,
2010-04,1.624,
2010-07,1.629,
2010-10,1.628,
2011-01,1.608,
2011-04,1.613,
2011-07,1.606,
2011-10,1.605,
2012-01,1.599,
2012-04,1.621,
2012-07,1.645,
2012-10,1.651,
2013-01,1.622,
2013-04,1.628,
2013-07,1.641,
2013-10,1.637,
2014-01,1.635,
2014-04,1.649,
2014-07,1.649,
