"",BBK01.OEAH02Q,BBK01.OEAH02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:58,
2002-01,14.261,
2002-04,14.384,
2002-07,14.166,
2002-10,16.095,
2003-01,14.917,
2003-04,16.113,
2003-07,19.407,
2003-10,19.028,
2004-01,18.459,
2004-04,16.079,
2004-07,15.631,
2004-10,16.356,
2005-01,18.958,
2005-04,18.884,
2005-07,20.136,
2005-10,20.452,
2006-01,20.100,
2006-04,20.983,
2006-07,21.046,
2006-10,22.088,
2007-01,22.527,
2007-04,25.425,
2007-07,24.892,
2007-10,26.481,
2008-01,26.795,
2008-04,26.778,
2008-07,26.976,
2008-10,29.226,
2009-01,31.513,
2009-04,31.896,
2009-07,34.693,
2009-10,33.888,
2010-01,35.712,
2010-04,35.444,
2010-07,35.142,
2010-10,34.186,
2011-01,35.515,
2011-04,36.417,
2011-07,36.649,
2011-10,36.161,
2012-01,36.233,
2012-04,39.417,
2012-07,40.528,
2012-10,41.624,
2013-01,43.783,
2013-04,46.322,
2013-07,46.270,
2013-10,47.166,
2014-01,48.717,
2014-04,51.700,
2014-07,50.391,
