"",BBK01.TUB613,BBK01.TUB613_FLAGS
"",Lending to euro area credit institutions related to monetary policy operations denominated in euro / marginal lending facility / Deutsche Bundesbank,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:40:00,
2002-01,9,
2002-02,1600,
2002-03,675,
2002-04,295,
2002-05,94,
2002-06,925,
2002-07,8,
2002-08,5,
2002-09,107,
2002-10,22,
2002-11,65,
2002-12,2241,
2003-01,150,
2003-02,5,
2003-03,407,
2003-04,1,
2003-05,146,
2003-06,31,
2003-07,140,
2003-08,25,
2003-09,237,
2003-10,14,
2003-11,5,
2003-12,89,
2004-01,4,
2004-02,229,
2004-03,161,
2004-04,15,
2004-05,19,
2004-06,88,
2004-07,1,
2004-08,2,
2004-09,616,
2004-10,-,Nothing exists
2004-11,270,
2004-12,109,
2005-01,0,
2005-02,19,
2005-03,2384,
2005-04,-,Nothing exists
2005-05,9,
2005-06,1269,
2005-07,7,
2005-08,3,
2005-09,357,
2005-10,162,
2005-11,22,
2005-12,949,
2006-01,19,
2006-02,21,
2006-03,53,
2006-04,73,
2006-05,14,
2006-06,55,
2006-07,3178,
2006-08,1,
2006-09,500,
2006-10,15,
2006-11,8,
2006-12,79,
2007-01,30,
2007-02,10,
2007-03,64,
2007-04,408,
2007-05,1,
2007-06,165,
2007-07,-,Nothing exists
2007-08,10,
2007-09,215,
2007-10,15,
2007-11,0,
2007-12,91,
2008-01,20,
2008-02,-,Nothing exists
2008-03,0,
2008-04,31,
2008-05,122,
2008-06,6,
2008-07,1,
2008-08,0,
2008-09,829,
2008-10,3523,
2008-11,2209,
2008-12,750,
2009-01,1786,
2009-02,576,
2009-03,584,
2009-04,436,
2009-05,158,
2009-06,270,
2009-07,116,
2009-08,80,
2009-09,3765,
2009-10,63,
2009-11,46,
2009-12,1,
2010-01,42,
2010-02,124,
2010-03,562,
2010-04,1,
2010-05,55,
2010-06,2,
2010-07,2,
2010-08,552,
2010-09,795,
2010-10,193,
2010-11,49,
2010-12,-,Nothing exists
2011-01,300,
2011-02,2,
2011-03,68,
2011-04,2,
2011-05,7,
2011-06,220,
2011-07,4,
2011-08,16,
2011-09,29,
2011-10,75,
2011-11,84,
2011-12,49,
2012-01,1,
2012-02,3,
2012-03,133,
2012-04,0,
2012-05,0,
2012-06,58,
2012-07,36,
2012-08,15,
2012-09,464,
2012-10,1129,
2012-11,835,
2012-12,587,
2013-01,15,
2013-02,15,
2013-03,163,
2013-04,2,
2013-05,2,
2013-06,15,
2013-07,3,
2013-08,3,
2013-09,673,
2013-10,431,
2013-11,74,
2013-12,122,
2014-01,-,Nothing exists
2014-02,102,
2014-03,2744,
2014-04,190,
2014-05,16,
2014-06,2578,
2014-07,189,
2014-08,617,
2014-09,326,
2014-10,902,
2014-11,152,
2014-12,84,
