"",BBK01.OEHM04P,BBK01.OEHM04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:46,
2002-01,0.109,
2002-04,0.067,
2002-07,0.017,
2002-10,0.050,
2003-01,0.049,
2003-04,0.053,
2003-07,0.049,
2003-10,0.042,
2004-01,0.048,
2004-04,0.048,
2004-07,0.047,
2004-10,0.045,
2005-01,0.069,
2005-04,0.096,
2005-07,0.091,
2005-10,0.106,
2006-01,0.062,
2006-04,0.029,
2006-07,0.084,
2006-10,0.127,
2007-01,0.044,
2007-04,0.043,
2007-07,0.091,
2007-10,0.091,
2008-01,0.054,
2008-04,0.047,
2008-07,0.064,
2008-10,0.071,
2009-01,0.029,
2009-04,0.040,
2009-07,0.031,
2009-10,0.110,
2010-01,0.042,
2010-04,0.024,
2010-07,0.031,
2010-10,0.081,
2011-01,0.028,
2011-04,0.019,
2011-07,0.029,
2011-10,0.131,
2012-01,0.093,
2012-04,0.086,
2012-07,0.108,
2012-10,0.276,
2013-01,0.509,
2013-04,0.158,
2013-07,0.192,
2013-10,0.395,
2014-01,0.120,
2014-04,0.100,
2014-07,0.207,
