"",BBK01.OEAP03G,BBK01.OEAP03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:46,
2002-01,33.145,
2002-04,34.553,
2002-07,22.343,
2002-10,45.999,
2003-01,21.815,
2003-04,20.877,
2003-07,20.365,
2003-10,20.004,
2004-01,17.498,
2004-04,16.043,
2004-07,14.742,
2004-10,14.073,
2005-01,11.478,
2005-04,11.630,
2005-07,10.474,
2005-10,10.358,
2006-01,9.847,
2006-04,8.830,
2006-07,8.684,
2006-10,8.283,
2007-01,8.393,
2007-04,8.521,
2007-07,7.758,
2007-10,7.685,
2008-01,7.689,
2008-04,7.279,
2008-07,6.814,
2008-10,6.975,
2009-01,7.160,
2009-04,6.907,
2009-07,6.460,
2009-10,6.527,
2010-01,6.600,
2010-04,5.572,
2010-07,5.548,
2010-10,4.632,
2011-01,5.072,
2011-04,4.695,
2011-07,4.562,
2011-10,4.267,
2012-01,4.007,
2012-04,4.275,
2012-07,3.894,
2012-10,3.714,
2013-01,3.664,
2013-04,3.388,
2013-07,3.354,
2013-10,3.131,
2014-01,2.409,
2014-04,1.937,
2014-07,1.916,
