"",BBK01.OEAE30K,BBK01.OEAE30K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:01,
2002-01,1.031,
2002-04,1.011,
2002-07,0.990,
2002-10,1.046,
2003-01,1.007,
2003-04,1.056,
2003-07,0.997,
2003-10,0.899,
2004-01,0.904,
2004-04,1.323,
2004-07,1.870,
2004-10,1.617,
2005-01,1.611,
2005-04,1.225,
2005-07,1.267,
2005-10,1.033,
2006-01,0.927,
2006-04,0.912,
2006-07,0.959,
2006-10,1.015,
2007-01,0.796,
2007-04,0.757,
2007-07,0.813,
2007-10,0.807,
2008-01,1.138,
2008-04,1.125,
2008-07,1.129,
2008-10,1.368,
2009-01,1.328,
2009-04,1.262,
2009-07,1.325,
2009-10,1.313,
2010-01,1.149,
2010-04,1.051,
2010-07,1.304,
2010-10,1.319,
2011-01,1.377,
2011-04,1.374,
2011-07,1.503,
2011-10,1.494,
2012-01,1.456,
2012-04,1.462,
2012-07,1.461,
2012-10,1.526,
2013-01,1.435,
2013-04,1.560,
2013-07,1.746,
2013-10,1.739,
2014-01,1.910,
2014-04,1.790,
2014-07,1.872,
