"",BBK01.OXA8J4,BBK01.OXA8J4_FLAGS
"","Stocks of loans to non-MFIs (including bills of exchange), traditionally securitised by servicing banks (MFIs) in Germany also being the originator with removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:36,
2009-12,11.386,
2010-01,10.936,
2010-02,-,Nothing exists
2010-03,9.915,
2010-04,-,Nothing exists
2010-05,9.747,
2010-06,9.454,
2010-07,9.119,
2010-08,8.718,
2010-09,8.369,
2010-10,8.045,
2010-11,7.617,
2010-12,7.174,
2011-01,6.964,
2011-02,7.349,
2011-03,7.121,
2011-04,6.910,
2011-05,6.669,
2011-06,7.500,
2011-07,8.015,
2011-08,7.747,
2011-09,7.438,
2011-10,7.318,
2011-11,6.888,
2011-12,6.729,
2012-01,6.584,
2012-02,6.430,
2012-03,6.116,
2012-04,5.808,
2012-05,5.735,
2012-06,5.573,
2012-07,5.201,
2012-08,5.117,
2012-09,5.044,
2012-10,5.022,
2012-11,4.762,
2012-12,4.767,
2013-01,4.564,
2013-02,5.378,
2013-03,5.281,
2013-04,5.144,
2013-05,5.012,
2013-06,4.896,
2013-07,5.431,
2013-08,5.235,
2013-09,5.062,
2013-10,4.957,
2013-11,4.849,
2013-12,4.796,
2014-01,4.175,
2014-02,4.126,
2014-03,3.920,
2014-04,3.823,
2014-05,5.037,
2014-06,4.926,
2014-07,4.597,
2014-08,4.317,
2014-09,3.909,
2014-10,3.291,
2014-11,3.856,
2014-12,3.775,Provisional value
