"",BBK01.OEBM03I,BBK01.OEBM03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:29,
2002-01,0.455,
2002-04,0.475,
2002-07,0.325,
2002-10,0.561,
2003-01,1.461,
2003-04,1.358,
2003-07,1.178,
2003-10,1.138,
2004-01,1.257,
2004-04,1.034,
2004-07,1.409,
2004-10,1.276,
2005-01,1.237,
2005-04,0.906,
2005-07,0.666,
2005-10,0.898,
2006-01,1.041,
2006-04,2.015,
2006-07,1.879,
2006-10,1.296,
2007-01,1.560,
2007-04,1.599,
2007-07,1.924,
2007-10,2.609,
2008-01,1.904,
2008-04,2.056,
2008-07,1.580,
2008-10,2.055,
2009-01,1.556,
2009-04,2.121,
2009-07,1.965,
2009-10,0.996,
2010-01,2.319,
2010-04,1.748,
2010-07,1.813,
2010-10,0.665,
2011-01,1.776,
2011-04,1.922,
2011-07,2.908,
2011-10,1.777,
2012-01,3.060,
2012-04,4.697,
2012-07,4.166,
2012-10,3.207,
2013-01,5.671,
2013-04,7.870,
2013-07,7.112,
2013-10,5.587,
2014-01,6.388,
2014-04,6.818,
2014-07,5.756,
