"",BBK01.OEBO04S,BBK01.OEBO04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:28,
2002-01,-0.053,
2002-04,-0.127,
2002-07,-0.004,
2002-10,-0.004,
2003-01,-0.042,
2003-04,-0.040,
2003-07,0.022,
2003-10,-0.047,
2004-01,-0.040,
2004-04,-0.030,
2004-07,0.007,
2004-10,0.012,
2005-01,0.032,
2005-04,-0.013,
2005-07,-0.022,
2005-10,-0.009,
2006-01,0.024,
2006-04,-0.005,
2006-07,-0.071,
2006-10,-0.011,
2007-01,0.139,
2007-04,0.029,
2007-07,0.013,
2007-10,0.062,
2008-01,0.039,
2008-04,0.052,
2008-07,-0.011,
2008-10,0.084,
2009-01,-0.023,
2009-04,-0.001,
2009-07,0.047,
2009-10,-0.052,
2010-01,-0.051,
2010-04,-0.052,
2010-07,0.001,
2010-10,0.069,
2011-01,0.045,
2011-04,-0.020,
2011-07,-0.006,
2011-10,-0.012,
2012-01,0.067,
2012-04,-0.022,
2012-07,-0.020,
2012-10,-0.008,
2013-01,-0.055,
2013-04,-0.057,
2013-07,-0.035,
2013-10,-0.019,
2014-01,-0.023,
2014-04,-0.053,
2014-07,0.081,
