"",BBSF2.M.1.P.00000.GEF01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEF01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed funds / Loans received,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:00,
2009-09,6,
2009-10,21,
2009-11,9,
2009-12,13,
2010-01,11,
2010-02,15,
2010-03,10,
2010-04,14,
2010-05,24,
2010-06,38,
2010-07,42,
2010-08,41,
2010-09,37,
2010-10,45,
2010-11,39,
2010-12,13,
2011-01,7,
2011-02,10,
2011-03,6,
2011-04,11,
2011-05,7,
2011-06,6,
2011-07,14,
2011-08,7,
2011-09,30,
2011-10,11,
2011-11,13,
2011-12,11,
2012-01,15,
2012-02,4,
2012-03,18,
2012-04,4,
2012-05,21,
2012-06,11,
2012-07,6,
2012-08,26,
2012-09,17,
2012-10,19,
2012-11,6,
2012-12,11,
2013-01,11,
2013-02,6,
2013-03,15,
2013-04,9,
2013-05,7,
2013-06,7,
2013-07,9,
2013-08,13,
2013-09,8,
2013-10,9,
2013-11,3,
2013-12,24,
2014-01,10,
2014-02,14,
2014-03,12,
2014-04,14,
2014-05,6,
2014-06,14,
2014-07,13,
2014-08,17,
2014-09,20,
2014-10,20,
2014-11,19,
