"",BBFN1.M.DE.N.1.A.BM.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BM.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Bermuda,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:14,
1994-07,0.008,
1994-08,0.011,
1994-09,0.008,
1994-10,0.010,
1994-11,0.013,
1994-12,0.027,
1995-01,0.020,
1995-02,0.026,
1995-03,0.020,
1995-04,0.021,
1995-05,0.012,
1995-06,0.017,
1995-07,0.017,
1995-08,0.020,
1995-09,0.013,
1995-10,0.018,
1995-11,0.015,
1995-12,0.017,
1996-01,0.013,
1996-02,0.011,
1996-03,0.013,
1996-04,0.012,
1996-05,0.015,
1996-06,0.015,
1996-07,0.017,
1996-08,0.018,
1996-09,0.017,
1996-10,0.017,
1996-11,0.018,
1996-12,0.014,
1997-01,0.024,
1997-02,0.021,
1997-03,0.029,
1997-04,0.017,
1997-05,0.021,
1997-06,0.014,
1997-07,0.011,
1997-08,0.011,
1997-09,0.013,
1997-10,0.012,
1997-11,0.013,
1997-12,0.021,
1998-01,0.026,
1998-02,0.028,
1998-03,0.028,
1998-04,0.026,
1998-05,0.036,
1998-06,0.038,
1998-07,0.036,
1998-08,0.049,
1998-09,0.056,
1998-10,0.056,
1998-11,0.058,
1998-12,0.036,
1999-01,0.045,
1999-02,0.060,
1999-03,0.053,
1999-04,0.057,
1999-05,0.047,
1999-06,0.049,
1999-07,0.086,
1999-08,0.088,
1999-09,0.084,
1999-10,0.080,
1999-11,0.043,
1999-12,0.093,
2000-01,0.085,
2000-02,0.080,
2000-03,0.115,
2000-04,0.107,
2000-05,0.122,
2000-06,0.129,
2000-07,0.132,
2000-08,0.136,
2000-09,0.133,
2000-10,0.130,
2000-11,0.129,
2000-12,0.059,
2001-01,0.054,
2001-02,0.068,
2001-03,0.068,
2001-04,0.086,
2001-05,0.096,
2001-06,0.110,
2001-07,0.091,
2001-08,0.083,
2001-09,0.087,
2001-10,0.092,
2001-11,0.102,
2001-12,0.118,
2002-01,0.235,
2002-02,0.261,
2002-03,0.212,
2002-04,0.228,
2002-05,0.253,
2002-06,0.274,
2002-07,0.287,
2002-08,0.280,
2002-09,0.284,
2002-10,0.288,
2002-11,0.294,
2002-12,0.272,
2003-01,0.313,
2003-02,0.316,
2003-03,0.329,
2003-04,0.168,
2003-05,0.141,
2003-06,0.146,
2003-07,0.140,
2003-08,0.143,
2003-09,0.138,
2003-10,0.122,
2003-11,0.165,
2003-12,0.167,
2004-01,0.203,
2004-02,0.144,
2004-03,0.092,
2004-04,0.091,
2004-05,0.083,
2004-06,0.149,
2004-07,0.107,
2004-08,0.110,
2004-09,0.097,
2004-10,0.112,
2004-11,0.120,
2004-12,0.088,
2005-01,0.093,
2005-02,0.111,
2005-03,0.069,
2005-04,0.088,
2005-05,0.093,
2005-06,0.086,
2005-07,0.084,
2005-08,0.095,
2005-09,0.095,
2005-10,0.160,
2005-11,0.174,
2005-12,0.203,
2006-01,0.215,
2006-02,0.180,
2006-03,0.193,
2006-04,0.096,
2006-05,0.087,
2006-06,0.095,
2006-07,0.091,
2006-08,0.108,
2006-09,0.158,
2006-10,0.184,
2006-11,0.153,
2006-12,0.069,
2007-01,0.050,
2007-02,0.071,
2007-03,0.067,
2007-04,0.059,
2007-05,0.049,
2007-06,0.069,
2007-07,0.051,
2007-08,0.047,
2007-09,0.060,
2007-10,0.055,
2007-11,0.113,
2007-12,0.064,
2008-01,0.045,
2008-02,0.066,
2008-03,0.059,
2008-04,0.036,
2008-05,0.036,
2008-06,0.061,
2008-07,0.045,
2008-08,0.049,
2008-09,0.088,
2008-10,0.124,
2008-11,0.138,
2008-12,0.097,
2009-01,0.126,
2009-02,0.124,
2009-03,0.165,
2009-04,0.134,
2009-05,0.111,
2009-06,0.090,
2009-07,0.075,
2009-08,0.099,
2009-09,0.095,
2009-10,0.090,
2009-11,0.094,
2009-12,0.094,
2010-01,0.057,
2010-02,0.083,
2010-03,0.065,
2010-04,0.080,
2010-05,0.063,
2010-06,0.098,
2010-07,0.064,
2010-08,0.062,
2010-09,0.073,
2010-10,0.085,
2010-11,0.092,
2010-12,0.109,
2011-01,0.113,
2011-02,0.132,
2011-03,0.120,
2011-04,0.108,
2011-05,0.082,
2011-06,0.098,
2011-07,0.077,
2011-08,0.080,
2011-09,0.083,
2011-10,0.088,
2011-11,0.096,
2011-12,0.124,
2012-01,0.106,
2012-02,0.100,
2012-03,0.158,
2012-04,0.156,
2012-05,0.135,
2012-06,0.132,
2012-07,0.132,
2012-08,0.133,
2012-09,0.138,
2012-10,0.140,
2012-11,0.149,
2012-12,0.168,
2013-01,0.142,
2013-02,0.178,
2013-03,0.175,
2013-04,0.156,
2013-05,0.298,
2013-06,0.166,
2013-07,0.166,
2013-08,0.150,
2013-09,0.342,
2013-10,0.290,
2013-11,0.267,
2013-12,0.249,
2014-01,0.274,
2014-02,0.237,
2014-03,0.209,
2014-04,0.171,
2014-05,0.179,
2014-06,0.210,
2014-07,0.205,
2014-08,0.201,
2014-09,0.211,
2014-10,0.212,
2014-11,0.210,
2014-12,0.342,
