"",BBK01.OEAE25U,BBK01.OEAE25U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:27,
2002-01,0.031,
2002-04,0.031,
2002-07,0.029,
2002-10,0.032,
2003-01,0.042,
2003-04,0.047,
2003-07,0.055,
2003-10,0.060,
2004-01,0.081,
2004-04,0.082,
2004-07,0.078,
2004-10,0.082,
2005-01,0.046,
2005-04,0.039,
2005-07,0.038,
2005-10,0.046,
2006-01,0.046,
2006-04,0.047,
2006-07,0.048,
2006-10,0.054,
2007-01,0.052,
2007-04,0.051,
2007-07,0.053,
2007-10,0.049,
2008-01,0.047,
2008-04,0.048,
2008-07,0.037,
2008-10,0.038,
2009-01,0.034,
2009-04,0.036,
2009-07,0.029,
2009-10,0.030,
2010-01,0.031,
2010-04,0.028,
2010-07,0.028,
2010-10,0.030,
2011-01,0.031,
2011-04,0.030,
2011-07,0.028,
2011-10,0.025,
2012-01,0.029,
2012-04,0.047,
2012-07,0.049,
2012-10,0.051,
2013-01,0.047,
2013-04,0.051,
2013-07,0.054,
2013-10,0.053,
2014-01,0.049,
2014-04,0.049,
2014-07,0.049,
