"",BBSF2.M.1.S.00000.IMM01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Net asset value,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:51:55,
1968-12,0,
1969-01,0,
1969-02,0,
1969-03,0,
1969-04,0,
1969-05,0,
1969-06,0,
1969-07,0,
1969-08,0,
1969-09,0,
1969-10,0,
1969-11,0,
1969-12,0,
1970-01,0,
1970-02,0,
1970-03,0,
1970-04,0,
1970-05,0,
1970-06,0,
1970-07,0,
1970-08,0,
1970-09,0,
1970-10,0,
1970-11,0,
1970-12,0,
1971-01,0,
1971-02,0,
1971-03,0,
1971-04,0,
1971-05,0,
1971-06,0,
1971-07,0,
1971-08,0,
1971-09,0,
1971-10,0,
1971-11,0,
1971-12,0,
1972-01,0,
1972-02,0,
1972-03,0,
1972-04,0,
1972-05,0,
1972-06,0,
1972-07,0,
1972-08,0,
1972-09,0,
1972-10,0,
1972-11,0,
1972-12,0,
1973-01,0,
1973-02,0,
1973-03,0,
1973-04,0,
1973-05,0,
1973-06,0,
1973-07,0,
1973-08,0,
1973-09,0,
1973-10,0,
1973-11,0,
1973-12,0,
1974-01,0,
1974-02,0,
1974-03,0,
1974-04,0,
1974-05,0,
1974-06,0,
1974-07,0,
1974-08,0,
1974-09,0,
1974-10,0,
1974-11,0,
1974-12,0,
1975-01,0,
1975-02,0,
1975-03,0,
1975-04,0,
1975-05,0,
1975-06,0,
1975-07,0,
1975-08,0,
1975-09,0,
1975-10,0,
1975-11,0,
1975-12,0,
1976-01,0,
1976-02,10,
1976-03,12,
1976-04,13,
1976-05,16,
1976-06,18,
1976-07,18,
1976-08,18,
1976-09,20,
1976-10,19,
1976-11,20,
1976-12,20,
1977-01,22,
1977-02,22,
1977-03,22,
1977-04,23,
1977-05,23,
1977-06,24,
1977-07,24,
1977-08,38,
1977-09,39,
1977-10,39,
1977-11,43,
1977-12,43,
1978-01,49,
1978-02,50,
1978-03,52,
1978-04,53,
1978-05,68,
1978-06,69,
1978-07,70,
1978-08,71,
1978-09,74,
1978-10,77,
1978-11,82,
1978-12,86,
1979-01,88,
1979-02,89,
1979-03,95,
1979-04,99,
1979-05,99,
1979-06,101,
1979-07,106,
1979-08,107,
1979-09,109,
1979-10,108,
1979-11,111,
1979-12,128,
1980-01,133,
1980-02,137,
1980-03,140,
1980-04,143,
1980-05,142,
1980-06,146,
1980-07,153,
1980-08,159,
1980-09,162,
1980-10,160,
1980-11,164,
1980-12,170,
1981-01,176,
1981-02,176,
1981-03,180,
1981-04,183,
1981-05,184,
1981-06,186,
1981-07,187,
1981-08,188,
1981-09,201,
1981-10,211,
1981-11,218,
1981-12,224,
1982-01,225,
1982-02,232,
1982-03,237,
1982-04,242,
1982-05,244,
1982-06,245,
1982-07,249,
1982-08,251,
1982-09,272,
1982-10,270,
1982-11,279,
1982-12,282,
1983-01,295,
1983-02,299,
1983-03,310,
1983-04,313,
1983-05,323,
1983-06,326,
1983-07,332,
1983-08,333,
1983-09,336,
1983-10,333,
1983-11,343,
1983-12,346,
1984-01,352,
1984-02,356,
1984-03,358,
1984-04,366,
1984-05,368,
1984-06,370,
1984-07,374,
1984-08,379,
1984-09,381,
1984-10,392,
1984-11,400,
1984-12,415,
1985-01,423,
1985-02,426,
1985-03,439,
1985-04,443,
1985-05,470,
1985-06,486,
1985-07,502,
1985-08,514,
1985-09,517,
1985-10,514,
1985-11,524,
1985-12,555,
1986-01,558,
1986-02,565,
