"",BBSF2.M.1.P.00000.TOT01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.TOT01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Public funds / Funds total / Short-term debt securities / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:50,
2009-09,2533,
2009-10,2547,
2009-11,3005,
2009-12,2843,
2010-01,3845,
2010-02,4033,
2010-03,3992,
2010-04,3915,
2010-05,4126,
2010-06,4096,
2010-07,4157,
2010-08,4254,
2010-09,4171,
2010-10,3607,
2010-11,3853,
2010-12,3826,
2011-01,2410,
2011-02,2012,
2011-03,2009,
2011-04,1605,
2011-05,1808,
2011-06,1756,
2011-07,1815,
2011-08,1367,
2011-09,1247,
2011-10,1289,
2011-11,1614,
2011-12,1414,
2012-01,1340,
2012-02,1276,
2012-03,1299,
2012-04,1295,
2012-05,801,
2012-06,789,
2012-07,740,
2012-08,722,
2012-09,707,
2012-10,722,
2012-11,558,
2012-12,553,
2013-01,306,
2013-02,289,
2013-03,221,
2013-04,323,
2013-05,382,
2013-06,366,
2013-07,329,
2013-08,302,
2013-09,296,
2013-10,278,
2013-11,214,
2013-12,261,
2014-01,265,
2014-02,272,
2014-03,328,
2014-04,319,
2014-05,301,
2014-06,316,
2014-07,316,
2014-08,277,
2014-09,268,
2014-10,254,
2014-11,265,
