"",BBK01.CEB420,BBK01.CEB420_FLAGS
"",Loans\n debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:41,
1991-01,44.5,
1991-04,47.8,
1991-07,48.1,
1991-10,49.9,
1992-01,50.7,
1992-04,53.6,
1992-07,55.9,
1992-10,58.7,
1993-01,59.7,
1993-04,62.5,
1993-07,62.7,
1993-10,64.6,
1994-01,73.4,
1994-04,75.3,
1994-07,76.6,
1994-10,79.3,
1995-01,77.4,
1995-04,79.4,
1995-07,80.3,
1995-10,84.9,
1996-01,90.1,
1996-04,93.4,
1996-07,93.5,
1996-10,103.0,
1997-01,109.9,
1997-04,117.2,
1997-07,114.8,
1997-10,127.4,
1998-01,135.2,
1998-04,149.2,
1998-07,142.7,
1998-10,148.8,
1999-01,175.7,
1999-04,192.1,
1999-07,174.8,
1999-10,184.8,
2000-01,236.7,
2000-04,258.9,
2000-07,257.7,
2000-10,310.5,
2001-01,337.0,
2001-04,336.1,
2001-07,355.6,
2001-10,355.9,
2002-01,354.8,
2002-04,373.3,
2002-07,381.1,
2002-10,397.3,
2003-01,413.8,
2003-04,420.9,
2003-07,432.5,
2003-10,414.3,
2004-01,403.8,
2004-04,401.1,
2004-07,402.1,
2004-10,387.0,
2005-01,385.9,
2005-04,391.0,
2005-07,418.6,
2005-10,416.0,
2006-01,457.9,
2006-04,477.2,
2006-07,488.3,
2006-10,471.3,
2007-01,493.2,
2007-04,512.0,
2007-07,523.1,
2007-10,490.9,
2008-01,539.5,
2008-04,551.7,
2008-07,551.3,
2008-10,568.9,
2009-01,593.4,
2009-04,611.6,
2009-07,606.9,
2009-10,632.6,
2010-01,617.4,
2010-04,666.7,
2010-07,671.7,
2010-10,678.3,
2011-01,681.5,
2011-04,723.8,
2011-07,778.9,
2011-10,753.5,
2012-01,788.5,
2012-04,831.4,
2012-07,814.5,
2012-10,793.8,
2013-01,831.5,
2013-04,885.0,
2013-07,643.3,
2013-10,606.3,
2014-01,624.7,
