"",BBK01.OEAH08I,BBK01.OEAH08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:22,
2002-01,1.150,
2002-04,1.156,
2002-07,1.155,
2002-10,1.164,
2003-01,1.111,
2003-04,1.289,
2003-07,1.062,
2003-10,1.034,
2004-01,1.005,
2004-04,0.992,
2004-07,0.970,
2004-10,0.929,
2005-01,0.927,
2005-04,0.906,
2005-07,0.895,
2005-10,0.866,
2006-01,0.832,
2006-04,0.826,
2006-07,0.838,
2006-10,0.814,
2007-01,1.170,
2007-04,1.295,
2007-07,1.329,
2007-10,2.000,
2008-01,2.201,
2008-04,2.407,
2008-07,2.553,
2008-10,2.688,
2009-01,2.984,
2009-04,2.908,
2009-07,2.811,
2009-10,2.894,
2010-01,3.232,
2010-04,3.626,
2010-07,3.725,
2010-10,1.210,
2011-01,1.273,
2011-04,1.392,
2011-07,1.443,
2011-10,1.435,
2012-01,1.376,
2012-04,1.379,
2012-07,1.351,
2012-10,1.229,
2013-01,1.102,
2013-04,0.954,
2013-07,0.981,
2013-10,0.990,
2014-01,1.101,
2014-04,1.097,
2014-07,1.209,
