"",BBK01.OEAH45I,BBK01.OEAH45I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:36,
2002-01,4.810,
2002-04,4.595,
2002-07,4.508,
2002-10,4.366,
2003-01,4.295,
2003-04,4.015,
2003-07,3.917,
2003-10,3.134,
2004-01,3.088,
2004-04,2.575,
2004-07,2.533,
2004-10,1.947,
2005-01,1.870,
2005-04,0.811,
2005-07,0.791,
2005-10,0.940,
2006-01,0.962,
2006-04,0.966,
2006-07,1.055,
2006-10,1.319,
2007-01,1.318,
2007-04,1.499,
2007-07,1.602,
2007-10,1.760,
2008-01,1.795,
2008-04,1.801,
2008-07,1.921,
2008-10,1.755,
2009-01,1.053,
2009-04,0.799,
2009-07,0.620,
2009-10,0.499,
2010-01,0.444,
2010-04,0.392,
2010-07,0.339,
2010-10,0.473,
2011-01,0.534,
2011-04,0.595,
2011-07,0.616,
2011-10,0.605,
2012-01,0.733,
2012-04,0.695,
2012-07,0.692,
2012-10,0.574,
2013-01,0.553,
2013-04,0.508,
2013-07,0.488,
2013-10,0.483,
2014-01,0.473,
2014-04,0.478,
2014-07,0.478,
