"",BBFI1.Q.N.DE.W1.S13.S1.K7A.A.FA.O.F2.L._T.N.N,BBFI1.Q.N.DE.W1.S13.S1.K7A.A.FA.O.F2.L._T.N.N_FLAGS
"",IIP - Other Investment - Currency and deposits - General government - Long-term original maturity (over 1 year) - Assets - Revaluations due to exchange rate changes,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:06:04,
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,1,
2014-04,9,
2014-07,31,
