"",BBK01.OEHB20M,BBK01.OEHB20M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:03,
2002-01,25.691,
2002-04,25.930,
2002-07,26.165,
2002-10,26.432,
2003-01,27.781,
2003-04,28.046,
2003-07,28.469,
2003-10,28.884,
2004-01,28.859,
2004-04,29.025,
2004-07,29.192,
2004-10,29.365,
2005-01,28.669,
2005-04,28.801,
2005-07,29.048,
2005-10,29.253,
2006-01,29.199,
2006-04,29.231,
2006-07,29.304,
2006-10,29.338,
2007-01,29.192,
2007-04,29.049,
2007-07,28.941,
2007-10,28.765,
2008-01,28.569,
2008-04,28.607,
2008-07,28.567,
2008-10,28.446,
2009-01,28.263,
2009-04,28.233,
2009-07,28.664,
2009-10,28.768,
2010-01,28.653,
2010-04,28.835,
2010-07,29.000,
2010-10,29.193,
2011-01,29.161,
2011-04,29.265,
2011-07,29.407,
2011-10,29.494,
2012-01,29.399,
2012-04,29.506,
2012-07,29.662,
2012-10,29.736,
2013-01,29.701,
2013-04,29.840,
2013-07,30.069,
2013-10,30.161,
2014-01,30.130,
2014-04,30.250,
2014-07,30.380,
