"",BBK01.OEXB24N,BBK01.OEXB24N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:05,
2002-01,15.620,
2002-04,15.831,
2002-07,15.410,
2002-10,13.651,
2003-01,13.137,
2003-04,12.755,
2003-07,12.501,
2003-10,11.382,
2004-01,11.026,
2004-04,10.770,
2004-07,9.055,
2004-10,1.277,
2005-01,0.888,
2005-04,0.879,
2005-07,0.698,
2005-10,0.431,
2006-01,0.385,
2006-04,0.506,
2006-07,0.612,
2006-10,0.388,
2007-01,0.397,
2007-04,0.483,
2007-07,0.419,
2007-10,0.556,
2008-01,0.732,
2008-04,0.892,
2008-07,1.023,
2008-10,1.322,
2009-01,1.455,
2009-04,1.396,
2009-07,1.590,
2009-10,1.642,
2010-01,1.776,
2010-04,1.788,
2010-07,1.556,
2010-10,1.524,
2011-01,1.309,
2011-04,1.272,
2011-07,1.106,
2011-10,1.087,
2012-01,0.977,
2012-04,0.965,
2012-07,1.032,
2012-10,1.076,
2013-01,0.865,
2013-04,0.702,
2013-07,0.672,
2013-10,0.682,
2014-01,0.771,
2014-04,0.440,
2014-07,0.458,
