"",BBK01.OEAE23I,BBK01.OEAE23I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:27,
2002-01,0.071,
2002-04,0.068,
2002-07,0.065,
2002-10,0.063,
2003-01,0.061,
2003-04,0.067,
2003-07,0.059,
2003-10,0.077,
2004-01,0.058,
2004-04,0.061,
2004-07,0.068,
2004-10,0.032,
2005-01,0.034,
2005-04,0.032,
2005-07,0.028,
2005-10,0.029,
2006-01,0.028,
2006-04,0.026,
2006-07,0.025,
2006-10,0.024,
2007-01,0.025,
2007-04,0.024,
2007-07,0.023,
2007-10,0.021,
2008-01,0.024,
2008-04,0.024,
2008-07,0.022,
2008-10,0.023,
2009-01,0.023,
2009-04,0.023,
2009-07,0.021,
2009-10,0.022,
2010-01,0.057,
2010-04,0.021,
2010-07,0.025,
2010-10,0.022,
2011-01,0.021,
2011-04,0.028,
2011-07,0.028,
2011-10,0.027,
2012-01,0.026,
2012-04,0.027,
2012-07,0.025,
2012-10,0.027,
2013-01,0.027,
2013-04,0.029,
2013-07,0.030,
2013-10,0.029,
2014-01,0.030,
2014-04,0.027,
2014-07,0.030,
