"",BBSF2.M.1.T.00000.TOT01.I.F.INV.U3.00000.F05200.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.INV.U3.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds total / Investment fund shares / EU member states not belonging to the Euro area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:54,
2009-09,796,
2009-10,810,
2009-11,841,
2009-12,953,
2010-01,957,
2010-02,1001,
2010-03,1146,
2010-04,1215,
2010-05,1141,
2010-06,1148,
2010-07,1173,
2010-08,1272,
2010-09,1352,
2010-10,1475,
2010-11,1555,
2010-12,1725,
2011-01,1667,
2011-02,1550,
2011-03,1457,
2011-04,1458,
2011-05,1443,
2011-06,1450,
2011-07,1549,
2011-08,1204,
2011-09,1113,
2011-10,1187,
2011-11,1178,
2011-12,1178,
2012-01,1373,
2012-02,1615,
2012-03,1682,
2012-04,1678,
2012-05,1601,
2012-06,1603,
2012-07,1721,
2012-08,1778,
2012-09,1860,
2012-10,1919,
2012-11,1929,
2012-12,1927,
2013-01,1991,
2013-02,2052,
2013-03,2158,
2013-04,2149,
2013-05,2222,
2013-06,2037,
2013-07,2083,
2013-08,2088,
2013-09,2117,
2013-10,1926,
2013-11,2156,
2013-12,2172,
2014-01,2092,
2014-02,2069,
2014-03,2026,
2014-04,2034,
2014-05,2083,
2014-06,2136,
2014-07,2125,
2014-08,2147,
2014-09,2192,
2014-10,2127,
2014-11,2307,
