"",BBDE1.M.DE.Y.AEA1.N2C260000.F.C.I10.A,BBDE1.M.DE.Y.AEA1.N2C260000.F.C.I10.A_FLAGS
"","Orders received / At constant prices / Germany / 26 Manufacture of computer, electronic and optical products / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:06,
1991-01,48.0,
1991-02,44.2,
1991-03,44.0,
1991-04,45.3,
1991-05,47.3,
1991-06,42.4,
1991-07,42.1,
1991-08,46.7,
1991-09,41.5,
1991-10,45.0,
1991-11,41.9,
1991-12,42.5,
1992-01,43.9,
1992-02,44.4,
1992-03,46.9,
1992-04,49.8,
1992-05,45.3,
1992-06,41.8,
1992-07,43.3,
1992-08,44.4,
1992-09,45.4,
1992-10,40.4,
1992-11,40.4,
1992-12,41.5,
1993-01,37.2,
1993-02,40.9,
1993-03,38.3,
1993-04,35.1,
1993-05,35.3,
1993-06,38.2,
1993-07,37.9,
1993-08,40.4,
1993-09,43.4,
1993-10,38.2,
1993-11,35.2,
1993-12,39.5,
1994-01,31.8,
1994-02,32.1,
1994-03,33.5,
1994-04,33.2,
1994-05,34.8,
1994-06,33.8,
1994-07,34.3,
1994-08,32.8,
1994-09,35.0,
1994-10,35.8,
1994-11,36.9,
1994-12,38.1,
1995-01,36.0,
1995-02,36.5,
1995-03,37.0,
1995-04,36.0,
1995-05,34.5,
1995-06,36.1,
1995-07,37.8,
1995-08,35.9,
1995-09,38.3,
1995-10,33.2,
1995-11,35.2,
1995-12,36.0,
1996-01,38.0,
1996-02,37.6,
1996-03,36.6,
1996-04,38.2,
1996-05,37.9,
1996-06,38.8,
1996-07,40.4,
1996-08,37.2,
1996-09,36.9,
1996-10,40.4,
1996-11,42.7,
1996-12,39.7,
1997-01,40.7,
1997-02,37.2,
1997-03,39.3,
1997-04,40.5,
1997-05,39.7,
1997-06,41.8,
1997-07,39.7,
1997-08,40.0,
1997-09,38.7,
1997-10,40.8,
1997-11,40.8,
1997-12,40.3,
1998-01,41.7,
1998-02,41.6,
1998-03,42.0,
1998-04,41.1,
1998-05,43.9,
1998-06,42.4,
1998-07,43.1,
1998-08,41.5,
1998-09,44.7,
1998-10,40.1,
