"",BBSF2.M.1.S.00000.GEM01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.GEM01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Special investors funds / Mixed securities funds / Short-term debt securities,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:00,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,615,
1993-05,567,
1993-06,362,
1993-07,378,
1993-08,350,
1993-09,398,
1993-10,388,
1993-11,419,
1993-12,159,
1994-01,262,
1994-02,166,
1994-03,144,
1994-04,128,
1994-05,117,
1994-06,115,
1994-07,160,
1994-08,149,
1994-09,162,
1994-10,269,
1994-11,173,
1994-12,58,
1995-01,110,
1995-02,148,
1995-03,121,
1995-04,121,
1995-05,163,
1995-06,284,
1995-07,260,
1995-08,274,
1995-09,208,
1995-10,292,
1995-11,109,
1995-12,180,
1996-01,260,
1996-02,203,
1996-03,301,
1996-04,336,
1996-05,327,
1996-06,358,
1996-07,484,
1996-08,562,
1996-09,481,
1996-10,545,
1996-11,308,
1996-12,312,
1997-01,334,
1997-02,399,
1997-03,355,
1997-04,333,
1997-05,307,
1997-06,282,
1997-07,229,
1997-08,337,
1997-09,375,
1997-10,456,
1997-11,475,
1997-12,451,
1998-01,538,
1998-02,544,
1998-03,545,
1998-04,472,
1998-05,271,
1998-06,237,
1998-07,180,
1998-08,142,
1998-09,135,
1998-10,144,
1998-11,257,
1998-12,284,
1999-01,124,
1999-02,136,
1999-03,187,
1999-04,118,
1999-05,201,
1999-06,370,
1999-07,285,
1999-08,476,
1999-09,332,
1999-10,510,
1999-11,410,
1999-12,366,
2000-01,343,
2000-02,428,
2000-03,453,
2000-04,193,
2000-05,402,
2000-06,262,
2000-07,323,
2000-08,385,
2000-09,361,
2000-10,364,
2000-11,402,
2000-12,237,
2001-01,295,
2001-02,218,
2001-03,318,
2001-04,159,
2001-05,203,
2001-06,198,
2001-07,246,
2001-08,157,
2001-09,170,
2001-10,199,
2001-11,104,
2001-12,170,
2002-01,56,
2002-02,129,
2002-03,104,
2002-04,80,
2002-05,131,
2002-06,145,
2002-07,326,
2002-08,321,
2002-09,438,
2002-10,361,
2002-11,279,
2002-12,257,
2003-01,165,
2003-02,217,
2003-03,186,
2003-04,147,
2003-05,132,
2003-06,120,
2003-07,176,
2003-08,274,
2003-09,257,
2003-10,254,
2003-11,317,
2003-12,199,
2004-01,240,
2004-02,271,
2004-03,281,
2004-04,257,
2004-05,288,
2004-06,164,
2004-07,197,
2004-08,312,
2004-09,354,
2004-10,298,
2004-11,268,
2004-12,331,
2005-01,346,
2005-02,452,
2005-03,607,
2005-04,603,
2005-05,661,
2005-06,551,
2005-07,520,
2005-08,483,
2005-09,398,
2005-10,427,
2005-11,466,
2005-12,619,
2006-01,343,
2006-02,296,
2006-03,374,
2006-04,356,
2006-05,422,
2006-06,586,
2006-07,692,
2006-08,670,
2006-09,998,
2006-10,643,
2006-11,651,
2006-12,673,
2007-01,789,
2007-02,925,
2007-03,807,
2007-04,764,
2007-05,764,
2007-06,933,
2007-07,1431,
2007-08,1516,
2007-09,1408,
2007-10,2056,
2007-11,2283,
2007-12,2376,
2008-01,2082,
2008-02,1920,
2008-03,1690,
2008-04,1913,
2008-05,1912,
2008-06,2036,
2008-07,2358,
2008-08,2397,
2008-09,2746,
2008-10,1907,
2008-11,2019,
2008-12,1613,
2009-01,1445,
2009-02,1508,
2009-03,1368,
2009-04,1354,
2009-05,1287,
2009-06,1041,
2009-07,1044,
2009-08,1090,
2009-09,2559,
2009-10,2329,
2009-11,2033,
2009-12,1348,
2010-01,1590,
2010-02,1312,
2010-03,957,
2010-04,873,
2010-05,902,
2010-06,969,
2010-07,964,
2010-08,1053,
2010-09,1098,
2010-10,1051,
2010-11,1282,
2010-12,1471,
2011-01,1497,
2011-02,1392,
2011-03,1491,
2011-04,1394,
2011-05,1480,
2011-06,1562,
2011-07,1471,
2011-08,1508,
2011-09,1529,
2011-10,1362,
2011-11,1123,
2011-12,1064,
2012-01,1069,
2012-02,1009,
2012-03,1017,
2012-04,1133,
2012-05,996,
2012-06,944,
2012-07,911,
2012-08,1115,
2012-09,996,
2012-10,994,
2012-11,978,
2012-12,893,
2013-01,796,
2013-02,780,
2013-03,875,
2013-04,938,
2013-05,907,
2013-06,1307,
2013-07,1068,
2013-08,1212,
2013-09,993,
2013-10,921,
2013-11,856,
2013-12,809,
2014-01,771,
2014-02,1198,
2014-03,1184,
2014-04,1199,
2014-05,1218,
2014-06,1354,
2014-07,1439,
2014-08,1180,
2014-09,1100,
2014-10,1348,
2014-11,1440,
