"",BBK01.OEXJ05P,BBK01.OEXJ05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:50,
2002-01,0.032,
2002-04,0.022,
2002-07,0.033,
2002-10,0.020,
2003-01,0.020,
2003-04,0.020,
2003-07,0.015,
2003-10,0.011,
2004-01,0.011,
2004-04,0.010,
2004-07,0.013,
2004-10,0.013,
2005-01,0.013,
2005-04,0.011,
2005-07,0.021,
2005-10,0.021,
2006-01,0.021,
2006-04,0.031,
2006-07,0.031,
2006-10,0.056,
2007-01,0.071,
2007-04,0.071,
2007-07,0.072,
2007-10,0.075,
2008-01,0.072,
2008-04,0.077,
2008-07,0.072,
2008-10,0.073,
2009-01,0.074,
2009-04,0.074,
2009-07,0.073,
2009-10,0.074,
2010-01,0.074,
2010-04,0.075,
2010-07,0.075,
2010-10,0.070,
2011-01,0.080,
2011-04,0.080,
2011-07,0.080,
2011-10,0.081,
2012-01,0.080,
2012-04,0.080,
2012-07,0.076,
2012-10,0.075,
2013-01,0.075,
2013-04,0.075,
2013-07,0.073,
2013-10,0.068,
2014-01,0.068,
2014-04,0.093,
2014-07,0.092,
