"",BBAI3.Q.DE.N.V.LE.F.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:41,
2005-10,242283,
2006-01,247414,
2006-04,250141,
2006-07,258542,
2006-10,264603,
2007-01,270421,
2007-04,277716,
2007-07,284890,
2007-10,294337,
2008-01,292407,
2008-04,293167,
2008-07,294473,
2008-10,298332,
2009-01,302663,
2009-04,311505,
2009-07,322014,
2009-10,327410,
2010-01,335537,
2010-04,342098,
2010-07,351614,
2010-10,387405,
2011-01,389516,
2011-04,394065,
2011-07,398016,
2011-10,404938,
2012-01,415719,
2012-04,420363,
2012-07,431114,
2012-10,439768,
2013-01,446830,
2013-04,447321,
2013-07,453099,
2013-10,467582,
2014-01,475202,
2014-04,487098,
2014-07,494564,
