"",BBK01.OEAF33I,BBK01.OEAF33I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:41,
2002-01,13.693,
2002-04,13.693,
2002-07,13.277,
2002-10,13.206,
2003-01,13.190,
2003-04,13.144,
2003-07,13.595,
2003-10,13.630,
2004-01,13.849,
2004-04,13.927,
2004-07,14.929,
2004-10,14.940,
2005-01,15.967,
2005-04,16.180,
2005-07,16.591,
2005-10,17.264,
2006-01,17.450,
2006-04,17.596,
2006-07,18.429,
2006-10,18.862,
2007-01,20.117,
2007-04,20.487,
2007-07,21.078,
2007-10,21.195,
2008-01,22.349,
2008-04,23.637,
2008-07,24.554,
2008-10,25.589,
2009-01,25.850,
2009-04,27.361,
2009-07,27.279,
2009-10,26.346,
2010-01,26.814,
2010-04,26.792,
2010-07,26.311,
2010-10,25.810,
2011-01,25.709,
2011-04,25.468,
2011-07,25.291,
2011-10,25.078,
2012-01,24.852,
2012-04,24.866,
2012-07,24.625,
2012-10,24.398,
2013-01,24.059,
2013-04,23.867,
2013-07,23.631,
2013-10,23.496,
2014-01,23.236,
2014-04,23.139,
2014-07,23.128,
