"",BBK01.OEXB04R,BBK01.OEXB04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:46,
2002-01,4.193,
2002-04,4.260,
2002-07,4.339,
2002-10,4.447,
2003-01,4.435,
2003-04,4.505,
2003-07,4.548,
2003-10,4.630,
2004-01,4.657,
2004-04,4.671,
2004-07,4.709,
2004-10,4.398,
2005-01,4.421,
2005-04,4.497,
2005-07,4.525,
2005-10,4.542,
2006-01,4.636,
2006-04,4.764,
2006-07,4.911,
2006-10,5.059,
2007-01,5.186,
2007-04,5.247,
2007-07,5.340,
2007-10,5.610,
2008-01,16.052,
2008-04,5.874,
2008-07,5.980,
2008-10,6.086,
2009-01,6.088,
2009-04,6.225,
2009-07,6.373,
2009-10,6.642,
2010-01,6.873,
2010-04,7.025,
2010-07,7.272,
2010-10,7.483,
2011-01,7.615,
2011-04,7.764,
2011-07,7.887,
2011-10,8.185,
2012-01,8.328,
2012-04,8.468,
2012-07,8.634,
2012-10,8.839,
2013-01,8.916,
2013-04,9.053,
2013-07,9.175,
2013-10,9.434,
2014-01,9.598,
2014-04,9.505,
2014-07,9.587,
