"",BBK01.OELB19L,BBK01.OELB19L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:01,
2002-01,1.842,
2002-04,1.799,
2002-07,1.763,
2002-10,1.681,
2003-01,1.615,
2003-04,1.562,
2003-07,1.519,
2003-10,1.476,
2004-01,1.422,
2004-04,1.398,
2004-07,1.388,
2004-10,1.362,
2005-01,1.316,
2005-04,1.286,
2005-07,1.269,
2005-10,1.228,
2006-01,1.183,
2006-04,1.160,
2006-07,1.129,
2006-10,1.075,
2007-01,1.032,
2007-04,0.979,
2007-07,0.959,
2007-10,0.933,
2008-01,0.901,
2008-04,0.857,
2008-07,0.835,
2008-10,0.794,
2009-01,0.774,
2009-04,0.755,
2009-07,0.752,
2009-10,0.742,
2010-01,0.714,
2010-04,0.670,
2010-07,0.674,
2010-10,0.667,
2011-01,0.685,
2011-04,0.704,
2011-07,0.713,
2011-10,0.714,
2012-01,0.717,
2012-04,0.743,
2012-07,0.755,
2012-10,0.762,
2013-01,0.756,
2013-04,0.739,
2013-07,0.759,
2013-10,0.737,
2014-01,0.741,
2014-04,0.747,
2014-07,0.757,
