"",BBFB1.Q.N.DE.FR.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:17,
1991-01,9749.685,
1991-04,10105.205,
1991-07,9154.382,
1991-10,9845.915,
1992-01,10261.304,
1992-04,9582.133,
1992-07,8438.669,
1992-10,9268.273,
1993-01,8702.093,
1993-04,8169.364,
1993-07,7044.635,
1993-10,8110.891,
1994-01,7705.983,
1994-04,8830.220,
1994-07,7956.961,
1994-10,8634.531,
1995-01,9150.922,
1995-04,8851.725,
1995-07,8210.301,
1995-10,8716.616,
1996-01,9166.264,
1996-04,9198.846,
1996-07,7834.662,
1996-10,9053.716,
1997-01,9502.993,
1997-04,9750.278,
1997-07,9343.217,
1997-10,10353.263,
1998-01,10678.074,
1998-04,10591.458,
1998-07,10183.768,
1998-10,10803.637,
1999-01,10467.538,
1999-04,11270.978,
1999-07,9819.982,
1999-10,10222.515,
2000-01,10353.175,
2000-04,11475.390,
2000-07,11444.667,
2000-10,13551.113,
2001-01,11489.601,
2001-04,11233.773,
2001-07,9968.273,
2001-10,10313.696,
2002-01,9307.093,
2002-04,10158.457,
2002-07,10110.414,
2002-10,10850.024,
2003-01,10242.919,
2003-04,10765.201,
2003-07,10211.221,
2003-10,11094.319,
2004-01,11000.485,
2004-04,11798.449,
2004-07,11373.439,
2004-10,11731.381,
2005-01,10905.784,
2005-04,12332.310,
2005-07,11223.336,
2005-10,12982.359,
2006-01,12571.605,
2006-04,13557.581,
2006-07,12663.535,
2006-10,14722.249,
2007-01,13900.858,
2007-04,14033.261,
2007-07,13809.114,
2007-10,13832.894,
2008-01,13998.149,
2008-04,14548.808,
2008-07,13851.457,
2008-10,14000.057,
2009-01,12194.045,
2009-04,10912.810,
2009-07,10834.079,
2009-10,11431.086,
2010-01,11828.728,
2010-04,12153.158,
2010-07,12530.045,
2010-10,12958.053,
2011-01,13590.357,
2011-04,15586.111,
2011-07,12224.167,
2011-10,14004.636,
2012-01,13921.491,
2012-04,14115.869,
2012-07,13096.396,
2012-10,13846.237,
2013-01,13735.218,
2013-04,12641.262,
2013-07,13295.951,
2013-10,13022.378,
2014-01,12824.897,Provisional value
2014-04,13190.649,Provisional value
2014-07,13226.008,Provisional value
