"",BBK01.OEBB09O,BBK01.OEBB09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:50,
2002-01,-2.589,
2002-04,-3.257,
2002-07,-3.430,
2002-10,-3.198,
2003-01,-3.217,
2003-04,-3.794,
2003-07,-3.502,
2003-10,-3.941,
2004-01,-3.472,
2004-04,-3.838,
2004-07,-3.534,
2004-10,-3.796,
2005-01,3.098,
2005-04,3.003,
2005-07,2.969,
2005-10,2.978,
2006-01,2.931,
2006-04,3.002,
2006-07,2.997,
2006-10,3.003,
2007-01,3.126,
2007-04,3.129,
2007-07,3.197,
2007-10,3.305,
2008-01,3.356,
2008-04,3.311,
2008-07,3.528,
2008-10,3.267,
2009-01,4.048,
2009-04,3.709,
2009-07,3.724,
2009-10,3.662,
2010-01,3.261,
2010-04,3.381,
2010-07,3.741,
2010-10,3.907,
2011-01,3.812,
2011-04,3.992,
2011-07,3.862,
2011-10,3.802,
2012-01,3.887,
2012-04,3.859,
2012-07,3.720,
2012-10,3.752,
2013-01,3.813,
2013-04,3.858,
2013-07,3.694,
2013-10,3.677,
2014-01,3.812,
2014-04,3.918,
2014-07,3.940,
