"",BBK01.CELI0J,BBK01.CELI0J_FLAGS
"",Listed Shares debtor: Total                                            creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:48,
1999-01,0.3,
1999-04,8.0,
1999-07,3.0,
1999-10,2.1,
2000-01,0.2,
2000-04,10.3,
2000-07,-0.7,
2000-10,3.0,
2001-01,-2.2,
2001-04,-2.8,
2001-07,-9.0,
2001-10,-3.9,
2002-01,-10.2,
2002-04,-11.4,
2002-07,-6.2,
2002-10,-16.2,
2003-01,-8.8,
2003-04,-2.4,
2003-07,1.5,
2003-10,-2.5,
2004-01,-1.5,
2004-04,-0.6,
2004-07,-1.2,
2004-10,-0.6,
2005-01,-0.6,
2005-04,-0.6,
2005-07,-0.6,
2005-10,-0.6,
2006-01,14.7,
2006-04,0.9,
2006-07,1.4,
2006-10,-4.0,
2007-01,-1.3,
2007-04,3.7,
2007-07,2.5,
2007-10,20.4,
2008-01,-2.5,
2008-04,3.6,
2008-07,4.0,
2008-10,0.8,
2009-01,11.5,
2009-04,4.2,
2009-07,0.7,
2009-10,3.0,
2010-01,2.2,
2010-04,4.4,
2010-07,-1.3,
2010-10,6.8,
2011-01,2.6,
2011-04,0.1,
2011-07,5.9,
2011-10,5.1,
2012-01,-1.1,
2012-04,0.4,
2012-07,0.1,
2012-10,-2.1,
2013-01,3.3,
2013-04,1.8,
2013-07,-3.3,
2013-10,-4.4,
2014-01,2.4,
2014-04,2.7,
2014-07,0.3,
