"",BBK01.OECB17R,BBK01.OECB17R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:41,
2002-01,0.903,
2002-04,0.904,
2002-07,0.900,
2002-10,0.900,
2003-01,0.898,
2003-04,0.894,
2003-07,0.888,
2003-10,0.881,
2004-01,0.870,
2004-04,0.870,
2004-07,0.862,
2004-10,0.955,
2005-01,1.715,
2005-04,1.712,
2005-07,1.728,
2005-10,1.743,
2006-01,1.743,
2006-04,1.752,
2006-07,1.774,
2006-10,1.776,
2007-01,1.777,
2007-04,1.816,
2007-07,1.805,
2007-10,1.792,
2008-01,1.789,
2008-04,1.790,
2008-07,1.811,
2008-10,1.790,
2009-01,1.777,
2009-04,2.086,
2009-07,2.071,
2009-10,2.062,
2010-01,2.047,
2010-04,2.035,
2010-07,2.037,
2010-10,2.033,
2011-01,2.036,
2011-04,2.013,
2011-07,2.013,
2011-10,2.015,
2012-01,2.022,
2012-04,2.014,
2012-07,2.017,
2012-10,2.010,
2013-01,2.008,
2013-04,2.004,
2013-07,2.002,
2013-10,2.006,
2014-01,2.004,
2014-04,2.002,
2014-07,2.011,
