"",BBK01.OEAE24L,BBK01.OEAE24L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:13,
2002-01,0.652,
2002-04,0.759,
2002-07,0.747,
2002-10,0.781,
2003-01,0.917,
2003-04,0.997,
2003-07,1.058,
2003-10,1.179,
2004-01,1.109,
2004-04,0.984,
2004-07,0.976,
2004-10,0.924,
2005-01,0.899,
2005-04,0.832,
2005-07,1.564,
2005-10,1.590,
2006-01,1.797,
2006-04,1.908,
2006-07,1.186,
2006-10,1.226,
2007-01,1.227,
2007-04,1.272,
2007-07,1.593,
2007-10,1.575,
2008-01,1.887,
2008-04,1.821,
2008-07,1.845,
2008-10,1.412,
2009-01,1.635,
2009-04,1.529,
2009-07,1.541,
2009-10,1.482,
2010-01,1.786,
2010-04,1.930,
2010-07,1.466,
2010-10,1.392,
2011-01,1.549,
2011-04,1.300,
2011-07,1.301,
2011-10,1.310,
2012-01,1.314,
2012-04,1.485,
2012-07,1.390,
2012-10,1.367,
2013-01,1.281,
2013-04,1.214,
2013-07,1.358,
2013-10,1.353,
2014-01,1.309,
2014-04,1.495,
2014-07,1.487,
