"",BBK01.WZ3087,BBK01.WZ3087_FLAGS
"","Yields, derived from the term structure of interest rates, on Pfandbriefe with annual coupon payments / residual maturity of 10.0 years / end of month",
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:57,
2000-01,5.97,
2000-02,5.83,
2000-03,5.78,
2000-04,5.97,
2000-05,5.88,
2000-06,5.91,
2000-07,5.93,
2000-08,5.97,
2000-09,5.94,
2000-10,5.87,
2000-11,5.65,
2000-12,5.49,
2001-01,5.43,
2001-02,5.37,
2001-03,5.44,
2001-04,5.57,
2001-05,5.56,
2001-06,5.55,
2001-07,5.39,
2001-08,5.35,
2001-09,5.14,
2001-10,4.97,
2001-11,5.18,
2001-12,5.29,
2002-01,5.33,
2002-02,5.51,
2002-03,5.54,
2002-04,5.53,
2002-05,5.40,
2002-06,5.28,
2002-07,5.08,
2002-08,4.86,
2002-09,4.79,
2002-10,4.93,
2002-11,4.75,
2002-12,4.58,
2003-01,4.38,
2003-02,4.40,
2003-03,4.55,
2003-04,4.27,
2003-05,4.05,
2003-06,4.28,
2003-07,4.47,
2003-08,4.48,
2003-09,4.50,
2003-10,4.65,
2003-11,4.61,
2003-12,4.49,
2004-01,4.54,
2004-02,4.38,
2004-03,4.29,
2004-04,4.50,
2004-05,4.55,
2004-06,4.51,
2004-07,4.53,
2004-08,4.36,
2004-09,4.29,
2004-10,4.19,
2004-11,4.07,
2004-12,3.96,
2005-01,3.81,
2005-02,3.93,
2005-03,3.89,
2005-04,3.66,
2005-05,3.59,
2005-06,3.42,
2005-07,3.47,
2005-08,3.37,
2005-09,3.37,
2005-10,3.63,
2005-11,3.68,
2005-12,3.64,
2006-01,3.74,
2006-02,3.78,
2006-03,4.05,
2006-04,4.25,
2006-05,4.19,
2006-06,4.34,
2006-07,4.24,
2006-08,4.20,
2006-09,4.08,
2006-10,4.10,
2006-11,4.05,
2006-12,4.10,
2007-01,4.38,
2007-02,4.24,
2007-03,4.34,
2007-04,4.50,
2007-05,4.67,
2007-06,4.86,
2007-07,4.78,
2007-08,4.65,
2007-09,4.73,
2007-10,4.61,
2007-11,4.62,
2007-12,4.79,
2008-01,4.49,
2008-02,4.47,
2008-03,4.50,
2008-04,4.69,
2008-05,4.86,
2008-06,5.06,
2008-07,5.01,
2008-08,4.80,
2008-09,4.85,
2008-10,4.61,
2008-11,4.29,
2008-12,4.13,
2009-01,4.31,
2009-02,4.21,
2009-03,4.22,
2009-04,4.26,
2009-05,4.46,
2009-06,4.33,
2009-07,4.21,
2009-08,4.00,
2009-09,3.95,
2009-10,3.98,
2009-11,3.88,
2009-12,3.96,
2010-01,3.90,
2010-02,3.75,
2010-03,3.70,
2010-04,3.60,
2010-05,3.40,
2010-06,3.35,
2010-07,3.41,
2010-08,2.86,
2010-09,3.06,
2010-10,3.30,
2010-11,3.52,
2010-12,3.72,
2011-01,3.83,
2011-02,3.85,
2011-03,4.01,
2011-04,4.00,
2011-05,3.81,
2011-06,3.86,
2011-07,3.66,
2011-08,3.40,
2011-09,3.22,
2011-10,3.33,
2011-11,3.43,
2011-12,3.11,
2012-01,3.02,
2012-02,2.95,
2012-03,3.00,
2012-04,2.91,
2012-05,2.41,
2012-06,2.65,
2012-07,2.42,
2012-08,2.29,
2012-09,2.21,
2012-10,2.35,
2012-11,2.25,
2012-12,2.03,
2013-01,2.27,
2013-02,2.27,
2013-03,2.17,
2013-04,1.91,
2013-05,2.11,
2013-06,2.35,
2013-07,2.33,
2013-08,2.50,
2013-09,2.42,
2013-10,2.35,
2013-11,2.32,
2013-12,2.48,
2014-01,2.23,
2014-02,2.12,
2014-03,2.09,
2014-04,2.03,
2014-05,1.81,
2014-06,1.67,
2014-07,1.58,
2014-08,1.29,
2014-09,1.33,
2014-10,1.23,
2014-11,1.06,
2014-12,0.96,
2015-01,0.84,
