"",BBK01.OECB04I,BBK01.OECB04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:59,
2002-01,8.532,
2002-04,8.370,
2002-07,8.292,
2002-10,8.286,
2003-01,7.994,
2003-04,7.894,
2003-07,7.764,
2003-10,7.267,
2004-01,7.211,
2004-04,7.118,
2004-07,6.950,
2004-10,6.606,
2005-01,9.128,
2005-04,8.770,
2005-07,8.773,
2005-10,8.693,
2006-01,8.467,
2006-04,8.364,
2006-07,8.334,
2006-10,8.099,
2007-01,7.980,
2007-04,7.981,
2007-07,8.017,
2007-10,7.920,
2008-01,7.925,
2008-04,8.177,
2008-07,8.335,
2008-10,8.192,
2009-01,8.174,
2009-04,10.625,
2009-07,10.381,
2009-10,10.248,
2010-01,10.147,
2010-04,9.849,
2010-07,11.798,
2010-10,11.499,
2011-01,11.396,
2011-04,11.314,
2011-07,11.304,
2011-10,11.332,
2012-01,11.204,
2012-04,11.342,
2012-07,11.367,
2012-10,11.387,
2013-01,10.968,
2013-04,11.579,
2013-07,11.697,
2013-10,11.897,
2014-01,12.093,
2014-04,12.346,
2014-07,12.182,
