"",BBK01.OEAM04Q,BBK01.OEAM04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:32,
2002-01,0.614,
2002-04,0.570,
2002-07,0.557,
2002-10,0.489,
2003-01,0.490,
2003-04,0.432,
2003-07,0.438,
2003-10,0.454,
2004-01,0.397,
2004-04,0.400,
2004-07,0.369,
2004-10,0.901,
2005-01,0.465,
2005-04,0.536,
2005-07,0.513,
2005-10,0.622,
2006-01,0.684,
2006-04,1.258,
2006-07,1.230,
2006-10,1.720,
2007-01,1.597,
2007-04,2.482,
2007-07,2.631,
2007-10,2.962,
2008-01,2.960,
2008-04,3.026,
2008-07,3.561,
2008-10,3.503,
2009-01,3.484,
2009-04,2.804,
2009-07,2.816,
2009-10,2.882,
2010-01,2.786,
2010-04,2.724,
2010-07,3.186,
2010-10,2.650,
2011-01,1.839,
2011-04,1.984,
2011-07,3.037,
2011-10,4.013,
2012-01,3.465,
2012-04,4.101,
2012-07,4.228,
2012-10,4.656,
2013-01,5.095,
2013-04,6.021,
2013-07,5.303,
2013-10,4.198,
2014-01,5.516,
2014-04,5.163,
2014-07,4.492,
