"",BBK01.OEAE20H,BBK01.OEAE20H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:10,
2002-01,1.650,
2002-04,1.619,
2002-07,1.497,
2002-10,1.383,
2003-01,1.151,
2003-04,1.154,
2003-07,1.027,
2003-10,1.152,
2004-01,1.095,
2004-04,1.110,
2004-07,1.101,
2004-10,0.931,
2005-01,0.904,
2005-04,0.874,
2005-07,0.993,
2005-10,1.123,
2006-01,1.282,
2006-04,1.441,
2006-07,1.689,
2006-10,1.853,
2007-01,1.598,
2007-04,1.417,
2007-07,1.792,
2007-10,2.193,
2008-01,2.632,
2008-04,2.714,
2008-07,2.963,
2008-10,2.279,
2009-01,2.212,
2009-04,1.782,
2009-07,1.752,
2009-10,1.825,
2010-01,1.750,
2010-04,1.725,
2010-07,1.808,
2010-10,1.708,
2011-01,1.546,
2011-04,1.756,
2011-07,1.592,
2011-10,1.507,
2012-01,1.343,
2012-04,1.488,
2012-07,1.710,
2012-10,1.898,
2013-01,1.811,
2013-04,2.045,
2013-07,2.355,
2013-10,2.263,
2014-01,2.565,
2014-04,2.617,
2014-07,2.769,
