"",BBK01.OEAI01J,BBK01.OEAI01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:05,
2002-01,21.462,
2002-04,21.459,
2002-07,21.265,
2002-10,21.971,
2003-01,21.588,
2003-04,22.042,
2003-07,22.037,
2003-10,22.329,
2004-01,23.120,
2004-04,23.558,
2004-07,24.653,
2004-10,24.426,
2005-01,25.741,
2005-04,26.312,
2005-07,26.709,
2005-10,28.126,
2006-01,27.841,
2006-04,28.457,
2006-07,28.580,
2006-10,27.486,
2007-01,27.860,
2007-04,28.384,
2007-07,29.836,
2007-10,30.167,
2008-01,29.852,
2008-04,30.860,
2008-07,31.368,
2008-10,32.166,
2009-01,32.023,
2009-04,31.799,
2009-07,31.335,
2009-10,31.809,
2010-01,31.630,
2010-04,32.059,
2010-07,30.869,
2010-10,31.421,
2011-01,31.378,
2011-04,31.652,
2011-07,31.547,
2011-10,31.692,
2012-01,31.932,
2012-04,31.910,
2012-07,31.577,
2012-10,31.608,
2013-01,31.353,
2013-04,29.619,
2013-07,28.631,
2013-10,28.670,
2014-01,26.908,
2014-04,26.647,
2014-07,26.405,
