"",BBK01.OEHB16K,BBK01.OEHB16K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:42,
2002-01,6.534,
2002-04,6.593,
2002-07,6.632,
2002-10,6.660,
2003-01,6.211,
2003-04,6.183,
2003-07,6.187,
2003-10,6.096,
2004-01,6.062,
2004-04,6.209,
2004-07,6.059,
2004-10,6.103,
2005-01,6.132,
2005-04,5.908,
2005-07,6.050,
2005-10,6.125,
2006-01,6.169,
2006-04,6.060,
2006-07,6.006,
2006-10,5.948,
2007-01,5.889,
2007-04,5.894,
2007-07,6.094,
2007-10,6.100,
2008-01,6.045,
2008-04,5.988,
2008-07,6.013,
2008-10,6.042,
2009-01,6.069,
2009-04,6.118,
2009-07,6.457,
2009-10,6.571,
2010-01,6.660,
2010-04,6.789,
2010-07,6.923,
2010-10,7.064,
2011-01,7.091,
2011-04,7.123,
2011-07,7.209,
2011-10,7.283,
2012-01,7.433,
2012-04,7.542,
2012-07,7.609,
2012-10,7.706,
2013-01,7.749,
2013-04,7.821,
2013-07,7.493,
2013-10,7.565,
2014-01,7.536,
2014-04,7.530,
2014-07,7.654,
