"",BBFB1.Q.N.DE.W1.S13.S1.T.A.FA.O.F2.S._T.N.N,BBFB1.Q.N.DE.W1.S13.S1.T.A.FA.O.F2.S._T.N.N_FLAGS
"",Assets (Net Acquisition of) / Financial account / Currency and deposits / Rest of the World / General government / Other Investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:49,
1991-01,2023.693,
1991-04,130.891,
1991-07,2518.891,
1991-10,-1438.020,
1992-01,2318.197,
1992-04,1528.251,
1992-07,-1130.466,
1992-10,327.738,
1993-01,816.533,
1993-04,1866.727,
1993-07,560.376,
1993-10,-578.782,
1994-01,309.725,
1994-04,-1201.418,
1994-07,-1605.457,
1994-10,-1785.943,
1995-01,-438.791,
1995-04,3724.483,
1995-07,-1493.890,
1995-10,1573.448,
1996-01,-717.175,
1996-04,783.770,
1996-07,-3047.418,
1996-10,2534.740,
1997-01,158.599,
1997-04,-38.591,
1997-07,120.466,
1997-10,7.149,
1998-01,1169.805,
1998-04,2045.277,
1998-07,-1152.207,
1998-10,-2158.796,
1999-01,-5691.404,
1999-04,-1496.601,
1999-07,-770.145,
1999-10,376.635,
2000-01,-1749.646,
2000-04,4389.954,
2000-07,15153.137,
2000-10,1549.167,
2001-01,-20981.119,
2001-04,-1816.314,
2001-07,-467.178,
2001-10,7781.706,
2002-01,-3050.003,
2002-04,27.442,
2002-07,-4309.604,
2002-10,672.680,
2003-01,-641.359,
2003-04,541.151,
2003-07,433.978,
2003-10,-627.197,
2004-01,-902.362,
2004-04,-22.320,
2004-07,-1011.269,
2004-10,154.359,
2005-01,-6510.157,
2005-04,2629.557,
2005-07,969.025,
2005-10,7630.190,
2006-01,-7211.449,
2006-04,13394.930,
2006-07,5523.276,
2006-10,-5241.881,
2007-01,-11194.635,
2007-04,24932.089,
2007-07,-26583.813,
2007-10,4429.292,
2008-01,1180.929,
2008-04,5991.681,
2008-07,-11569.557,
2008-10,1509.384,
2009-01,-6250.428,
2009-04,15936.889,
2009-07,-13901.031,
2009-10,933.656,
2010-01,1920.670,
2010-04,-5918.210,
2010-07,1562.532,
2010-10,5684.111,
2011-01,-411.972,
2011-04,6663.292,
2011-07,-8689.159,
2011-10,23560.969,
2012-01,-9154.461,
2012-04,3418.503,
2012-07,-2730.523,
2012-10,2352.479,
2013-01,-3413.000,
2013-04,-4249.000,
2013-07,702.000,
2013-10,2019.000,
2014-01,6994.000,
2014-04,-2036.000,
2014-07,4716.000,
