"",BBK01.OEAA31K,BBK01.OEAA31K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:05,
2002-01,18.238,
2002-04,18.071,
2002-07,18.491,
2002-10,18.007,
2003-01,17.258,
2003-04,15.635,
2003-07,15.536,
2003-10,15.231,
2004-01,14.457,
2004-04,16.299,
2004-07,16.164,
2004-10,16.277,
2005-01,16.101,
2005-04,15.765,
2005-07,15.815,
2005-10,15.507,
2006-01,15.313,
2006-04,14.991,
2006-07,14.829,
2006-10,14.620,
2007-01,13.985,
2007-04,13.863,
2007-07,13.864,
2007-10,13.800,
2008-01,13.957,
2008-04,13.931,
2008-07,13.811,
2008-10,13.709,
2009-01,13.577,
2009-04,14.658,
2009-07,14.877,
2009-10,14.837,
2010-01,14.797,
2010-04,14.897,
2010-07,14.915,
2010-10,15.126,
2011-01,15.215,
2011-04,15.042,
2011-07,15.230,
2011-10,15.134,
2012-01,15.145,
2012-04,16.057,
2012-07,16.073,
2012-10,16.133,
2013-01,16.220,
2013-04,16.162,
2013-07,15.981,
2013-10,15.854,
2014-01,15.727,
2014-04,15.661,
2014-07,15.827,
