"",BBK01.OEHL02K,BBK01.OEHL02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:35,
2002-01,2.407,
2002-04,2.410,
2002-07,1.929,
2002-10,1.936,
2003-01,2.259,
2003-04,1.777,
2003-07,2.399,
2003-10,2.460,
2004-01,2.563,
2004-04,2.953,
2004-07,2.895,
2004-10,3.110,
2005-01,3.144,
2005-04,3.208,
2005-07,3.173,
2005-10,3.293,
2006-01,3.301,
2006-04,3.376,
2006-07,3.327,
2006-10,3.500,
2007-01,3.743,
2007-04,3.825,
2007-07,3.812,
2007-10,3.913,
2008-01,3.917,
2008-04,3.921,
2008-07,3.879,
2008-10,4.761,
2009-01,6.197,
2009-04,6.556,
2009-07,6.887,
2009-10,7.293,
2010-01,7.559,
2010-04,7.527,
2010-07,7.623,
2010-10,7.621,
2011-01,7.610,
2011-04,7.262,
2011-07,7.387,
2011-10,7.607,
2012-01,7.922,
2012-04,7.920,
2012-07,8.010,
2012-10,8.173,
2013-01,8.160,
2013-04,7.942,
2013-07,7.938,
2013-10,7.963,
2014-01,8.043,
2014-04,8.122,
2014-07,8.052,
