"",BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Primary income / Balance (Credits minus Debits) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:17,
1991-01,5.05,
1991-04,3.33,
1991-07,4.14,
1991-10,3.25,
1992-01,4.04,
1992-04,3.70,
1992-07,4.04,
1992-10,3.26,
1993-01,2.75,
1993-04,2.67,
1993-07,2.12,
1993-10,2.11,
1994-01,0.15,
1994-04,0.04,
1994-07,-0.25,
1994-10,0.47,
1995-01,-0.41,
1995-04,-0.29,
1995-07,-0.78,
1995-10,-1.53,
1996-01,1.24,
1996-04,-0.26,
1996-07,-2.16,
1996-10,0.48,
1997-01,-0.78,
1997-04,-1.75,
1997-07,-1.04,
1997-10,-0.99,
1998-01,-1.76,
1998-04,-3.82,
1998-07,-3.21,
1998-10,-3.44,
1999-01,-5.24,
1999-04,-2.64,
1999-07,-4.48,
1999-10,-5.22,
2000-01,-2.51,
2000-04,-3.16,
2000-07,-5.83,
2000-10,-2.84,
2001-01,-5.13,
2001-04,-3.92,
2001-07,-4.36,
2001-10,-3.92,
2002-01,-6.60,
2002-04,-5.82,
2002-07,-6.55,
2002-10,-6.83,
2003-01,-5.51,
2003-04,-5.16,
2003-07,-4.63,
2003-10,-3.95,
2004-01,1.77,
2004-04,4.28,
2004-07,5.40,
2004-10,5.33,
2005-01,3.77,
2005-04,6.30,
2005-07,5.49,
2005-10,5.54,
2006-01,8.53,
2006-04,12.07,
2006-07,11.26,
2006-10,10.41,
2007-01,11.71,
2007-04,11.86,
2007-07,9.36,
2007-10,9.48,
2008-01,7.57,
2008-04,6.56,
2008-07,7.80,
2008-10,8.90,
2009-01,13.65,
2009-04,13.09,
2009-07,16.26,
2009-10,15.99,
2010-01,13.27,
2010-04,12.94,
2010-07,12.53,
2010-10,14.10,
2011-01,16.28,
2011-04,16.67,
2011-07,19.09,
2011-10,18.48,
2012-01,18.28,
2012-04,17.91,
2012-07,19.17,
2012-10,19.55,
2013-01,18.06,
2013-04,18.29,
2013-07,16.61,
2013-10,18.73,
2014-01,17.06,
2014-04,16.43,Provisional value
2014-07,17.95,Provisional value
2014-10,18.09,Provisional value
