"",BBFB1.M.N.DE.W1.S1.S1.T.C.D4P.P.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D4P.P.F._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Portfolio investment / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:10,
1991-01,1059.872,
1991-02,1050.807,
1991-03,1175.796,
1991-04,1047.076,
1991-05,1059.490,
1991-06,1183.882,
1991-07,1069.520,
1991-08,1056.815,
1991-09,1185.536,
1991-10,1069.449,
1991-11,1088.596,
1991-12,1217.810,
1992-01,1077.171,
1992-02,1068.780,
1992-03,1211.334,
1992-04,1098.898,
1992-05,1102.315,
1992-06,1229.255,
1992-07,1127.951,
1992-08,1139.428,
1992-09,1269.575,
1992-10,1134.637,
1992-11,1162.539,
1992-12,1336.934,
1993-01,1227.456,
1993-02,1258.271,
1993-03,1411.559,
1993-04,1317.078,
1993-05,1332.062,
1993-06,1487.097,
1993-07,1369.148,
1993-08,1395.008,
1993-09,1501.961,
1993-10,1404.019,
1993-11,1399.633,
1993-12,1496.608,
1994-01,1446.413,
1994-02,1339.616,
1994-03,1540.501,
1994-04,1369.471,
1994-05,1427.250,
1994-06,1418.981,
1994-07,1419.369,
1994-08,1448.733,
1994-09,1510.405,
1994-10,1312.640,
1994-11,1357.936,
1994-12,1480.947,
1995-01,1358.680,
1995-02,1403.333,
1995-03,1532.976,
1995-04,1329.293,
1995-05,1353.107,
1995-06,1524.606,
1995-07,1360.125,
1995-08,1364.000,
1995-09,1456.883,
1995-10,1448.906,
1995-11,1330.567,
1995-12,1530.963,
1996-01,1400.089,
1996-02,1403.230,
1996-03,1548.549,
1996-04,1389.435,
1996-05,1465.586,
1996-06,1624.985,
1996-07,1486.752,
1996-08,1489.328,
1996-09,1629.590,
1996-10,1508.375,
1996-11,1515.587,
1996-12,1667.046,
1997-01,1534.021,
1997-02,1640.957,
1997-03,1705.173,
1997-04,1559.073,
1997-05,1651.478,
1997-06,1800.244,
