"",BBK01.OECB08G,BBK01.OECB08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:44,
2002-01,11.870,
2002-04,11.761,
2002-07,11.561,
2002-10,11.447,
2003-01,11.178,
2003-04,11.018,
2003-07,10.978,
2003-10,10.798,
2004-01,10.692,
2004-04,10.654,
2004-07,10.520,
2004-10,10.452,
2005-01,13.246,
2005-04,13.159,
2005-07,13.191,
2005-10,13.463,
2006-01,13.483,
2006-04,13.524,
2006-07,13.571,
2006-10,13.593,
2007-01,13.784,
2007-04,13.970,
2007-07,14.071,
2007-10,14.067,
2008-01,14.127,
2008-04,14.251,
2008-07,14.223,
2008-10,14.203,
2009-01,14.183,
2009-04,18.462,
2009-07,18.115,
2009-10,18.061,
2010-01,17.988,
2010-04,17.943,
2010-07,17.826,
2010-10,17.309,
2011-01,17.240,
2011-04,16.771,
2011-07,16.715,
2011-10,16.624,
2012-01,16.442,
2012-04,16.440,
2012-07,16.350,
2012-10,16.262,
2013-01,16.324,
2013-04,16.654,
2013-07,16.928,
2013-10,16.655,
2014-01,16.957,
2014-04,17.043,
2014-07,17.153,
