"",BBK01.OEAH34M,BBK01.OEAH34M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:49,
2002-01,0.032,
2002-04,0.036,
2002-07,0.068,
2002-10,0.077,
2003-01,0.074,
2003-04,0.072,
2003-07,0.048,
2003-10,0.040,
2004-01,0.044,
2004-04,0.043,
2004-07,0.045,
2004-10,0.038,
2005-01,0.041,
2005-04,0.078,
2005-07,0.097,
2005-10,0.117,
2006-01,0.120,
2006-04,0.126,
2006-07,0.160,
2006-10,0.154,
2007-01,0.134,
2007-04,0.138,
2007-07,0.163,
2007-10,0.190,
2008-01,0.271,
2008-04,0.471,
2008-07,0.537,
2008-10,0.589,
2009-01,0.644,
2009-04,0.799,
2009-07,0.811,
2009-10,0.787,
2010-01,0.758,
2010-04,0.434,
2010-07,0.426,
2010-10,0.384,
2011-01,0.339,
2011-04,0.305,
2011-07,0.302,
2011-10,0.484,
2012-01,0.621,
2012-04,0.690,
2012-07,0.729,
2012-10,0.738,
2013-01,0.690,
2013-04,0.698,
2013-07,0.703,
2013-10,0.616,
2014-01,0.527,
2014-04,0.517,
2014-07,0.523,
