"",BBFB1.Q.N.DE.RU.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.RU.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:26,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-0.206,
1992-07,4.908,
1992-10,4.189,
1993-01,-3.456,
1993-04,-7.807,
1993-07,-58.389,
1993-10,-32.541,
1994-01,-39.293,
1994-04,-4.563,
1994-07,14.828,
1994-10,1.786,
1995-01,-124.531,
1995-04,5.619,
1995-07,-120.169,
1995-10,10.154,
1996-01,-213.935,
1996-04,23.001,
1996-07,-120.902,
1996-10,19.198,
1997-01,125.610,
1997-04,-146.201,
1997-07,16.038,
1997-10,274.034,
1998-01,222.335,
1998-04,410.907,
1998-07,485.487,
1998-10,623.793,
1999-01,534.716,
1999-04,242.028,
1999-07,44.022,
1999-10,241.881,
2000-01,-69.332,
2000-04,-165.540,
2000-07,229.554,
2000-10,-480.908,
2001-01,-291.946,
2001-04,-232.950,
2001-07,-128.445,
2001-10,-154.337,
2002-01,-38.709,
2002-04,-111.625,
2002-07,62.052,
2002-10,-339.697,
2003-01,-86.071,
2003-04,99.608,
2003-07,-122.318,
2003-10,22.745,
2004-01,-1203.558,
2004-04,-25.053,
2004-07,36.606,
2004-10,15.559,
2005-01,35.415,
2005-04,-17.822,
2005-07,211.662,
2005-10,78.731,
2006-01,187.910,
2006-04,-72.686,
2006-07,-11.857,
2006-10,75.448,
2007-01,-111.507,
2007-04,24.715,
2007-07,495.019,
2007-10,480.469,
2008-01,-346.625,
2008-04,499.583,
2008-07,15.249,
2008-10,-46.982,
2009-01,48.559,
2009-04,-530.842,
2009-07,-151.657,
2009-10,-6.744,
2010-01,-294.077,
2010-04,38.002,
2010-07,1898.207,
2010-10,-3252.684,
2011-01,-966.261,
2011-04,188.933,
2011-07,-279.851,
2011-10,55.827,
2012-01,-131.446,
2012-04,212.744,
2012-07,53.100,
2012-10,126.586,
2013-01,78.486,
2013-04,125.558,
2013-07,410.541,
2013-10,252.997,
2014-01,-196.596,Provisional value
2014-04,142.295,Provisional value
2014-07,-270.183,Provisional value
2014-10,101.055,Provisional value
