"",BBFN1.M.DE.N.1.L.CZ.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CZ.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Czech Republic,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:35,
1994-12,0.389,
1995-01,0.371,
1995-02,0.389,
1995-03,0.397,
1995-04,0.415,
1995-05,0.411,
1995-06,0.423,
1995-07,0.422,
1995-08,0.434,
1995-09,0.386,
1995-10,0.384,
1995-11,0.403,
1995-12,0.360,
1996-01,0.361,
1996-02,0.381,
1996-03,0.405,
1996-04,0.380,
1996-05,0.397,
1996-06,0.419,
1996-07,0.391,
1996-08,0.396,
1996-09,0.454,
1996-10,0.483,
1996-11,0.497,
1996-12,0.477,
1997-01,0.479,
1997-02,0.485,
1997-03,0.505,
1997-04,0.551,
1997-05,0.569,
1997-06,0.540,
1997-07,0.545,
1997-08,0.524,
1997-09,0.572,
1997-10,0.602,
1997-11,0.621,
1997-12,0.632,
1998-01,0.640,
1998-02,0.675,
1998-03,0.727,
1998-04,0.754,
1998-05,0.716,
1998-06,0.701,
1998-07,0.709,
1998-08,0.673,
1998-09,0.715,
1998-10,0.723,
1998-11,0.693,
1998-12,0.676,
1999-01,0.631,
1999-02,0.674,
1999-03,0.717,
1999-04,0.688,
1999-05,0.740,
1999-06,0.755,
1999-07,0.748,
1999-08,0.689,
1999-09,0.712,
1999-10,0.684,
1999-11,0.710,
1999-12,0.666,
2000-01,0.693,
2000-02,0.725,
2000-03,0.781,
2000-04,0.730,
2000-05,0.787,
2000-06,0.844,
2000-07,0.786,
2000-08,0.812,
2000-09,0.862,
2000-10,0.852,
2000-11,0.885,
2000-12,0.980,
2001-01,0.964,
2001-02,0.976,
2001-03,1.067,
2001-04,1.049,
2001-05,1.095,
2001-06,1.142,
2001-07,1.128,
2001-08,1.115,
2001-09,1.167,
2001-10,1.134,
2001-11,1.118,
2001-12,1.118,
2002-01,1.227,
2002-02,1.189,
2002-03,1.259,
2002-04,1.362,
2002-05,1.414,
2002-06,1.444,
2002-07,1.305,
2002-08,1.191,
2002-09,1.285,
2002-10,1.382,
2002-11,1.292,
2002-12,1.282,
2003-01,1.567,
2003-02,1.798,
2003-03,1.905,
2003-04,1.961,
2003-05,1.960,
2003-06,1.947,
2003-07,1.752,
2003-08,1.680,
2003-09,1.747,
2003-10,1.913,
2003-11,2.071,
2003-12,2.071,
2004-01,2.195,
2004-02,2.314,
2004-03,2.478,
2004-04,2.356,
2004-05,2.425,
2004-06,2.436,
2004-07,2.183,
2004-08,2.155,
2004-09,2.241,
2004-10,2.447,
2004-11,2.584,
2004-12,2.628,
2005-01,2.704,
2005-02,2.911,
2005-03,3.029,
2005-04,2.900,
2005-05,3.087,
2005-06,2.662,
2005-07,3.050,
2005-08,3.111,
2005-09,2.959,
2005-10,3.075,
2005-11,3.371,
2005-12,3.217,
2006-01,3.509,
2006-02,3.525,
2006-03,3.878,
2006-04,3.838,
2006-05,4.073,
2006-06,3.668,
2006-07,4.113,
2006-08,4.066,
2006-09,4.330,
2006-10,3.970,
2006-11,4.904,
2006-12,4.665,
2007-01,4.896,
2007-02,5.119,
2007-03,5.559,
2007-04,5.203,
2007-05,5.466,
2007-06,5.252,
2007-07,5.252,
2007-08,5.219,
2007-09,5.751,
2007-10,5.267,
2007-11,5.679,
2007-12,5.664,
2008-01,5.632,
2008-02,5.293,
2008-03,5.393,
2008-04,5.025,
2008-05,5.119,
2008-06,5.299,
2008-07,5.216,
2008-08,5.099,
2008-09,5.426,
2008-10,5.706,
2008-11,6.174,
2008-12,6.065,
2009-01,5.320,
2009-02,5.282,
2009-03,5.428,
2009-04,5.274,
2009-05,5.374,
2009-06,6.082,
2009-07,5.907,
2009-08,5.340,
2009-09,5.993,
2009-10,6.526,
2009-11,6.937,
2009-12,5.202,
2010-01,4.618,
2010-02,4.580,
2010-03,5.514,
2010-04,5.217,
2010-05,4.998,
2010-06,4.457,
2010-07,4.105,
2010-08,4.367,
2010-09,4.866,
2010-10,4.824,
2010-11,4.853,
2010-12,5.069,
2011-01,5.129,
2011-02,5.533,
2011-03,6.078,
2011-04,5.809,
2011-05,5.911,
2011-06,5.384,
2011-07,5.103,
2011-08,4.964,
2011-09,5.248,
2011-10,5.306,
2011-11,5.235,
2011-12,5.177,
2012-01,4.649,
2012-02,5.248,
2012-03,5.386,
2012-04,4.649,
2012-05,6.827,
2012-06,6.801,
2012-07,6.226,
2012-08,6.204,
2012-09,6.390,
2012-10,6.293,
2012-11,7.294,
2012-12,5.599,
2013-01,4.795,
2013-02,7.250,
2013-03,7.846,
2013-04,7.190,
2013-05,7.158,
2013-06,7.326,
2013-07,7.578,
2013-08,8.151,
2013-09,9.212,
2013-10,8.935,
2013-11,8.941,
2013-12,9.411,
2014-01,8.645,
2014-02,8.796,
2014-03,9.631,
2014-04,9.190,
2014-05,6.853,
2014-06,7.492,
2014-07,6.958,
2014-08,7.006,
2014-09,7.693,
2014-10,7.680,
2014-11,7.792,
2014-12,7.882,
