"",BBK01.OEAF06U,BBK01.OEAF06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:18,
2002-01,1.049,
2002-04,1.048,
2002-07,1.053,
2002-10,1.353,
2003-01,1.434,
2003-04,1.513,
2003-07,1.487,
2003-10,1.696,
2004-01,1.759,
2004-04,1.561,
2004-07,1.595,
2004-10,1.598,
2005-01,1.618,
2005-04,1.565,
2005-07,1.752,
2005-10,1.770,
2006-01,1.784,
2006-04,1.836,
2006-07,1.884,
2006-10,1.913,
2007-01,1.782,
2007-04,1.725,
2007-07,1.664,
2007-10,1.599,
2008-01,1.530,
2008-04,1.511,
2008-07,1.470,
2008-10,1.422,
2009-01,1.416,
2009-04,1.397,
2009-07,1.550,
2009-10,1.540,
2010-01,1.499,
2010-04,1.502,
2010-07,1.517,
2010-10,1.487,
2011-01,1.474,
2011-04,1.407,
2011-07,1.415,
2011-10,1.389,
2012-01,1.384,
2012-04,1.394,
2012-07,1.366,
2012-10,1.337,
2013-01,1.261,
2013-04,1.286,
2013-07,1.316,
2013-10,1.310,
2014-01,1.325,
2014-04,1.346,
2014-07,1.369,
