"",BBK01.OECJ04G,BBK01.OECJ04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:29,
2002-01,1.688,
2002-04,1.746,
2002-07,1.855,
2002-10,1.797,
2003-01,1.546,
2003-04,1.402,
2003-07,1.528,
2003-10,1.587,
2004-01,1.261,
2004-04,1.187,
2004-07,1.089,
2004-10,1.485,
2005-01,1.090,
2005-04,1.207,
2005-07,1.513,
2005-10,1.920,
2006-01,1.414,
2006-04,1.464,
2006-07,1.458,
2006-10,2.035,
2007-01,2.028,
2007-04,1.875,
2007-07,2.398,
2007-10,2.589,
2008-01,2.529,
2008-04,2.673,
2008-07,2.827,
2008-10,2.680,
2009-01,2.629,
2009-04,2.337,
2009-07,2.329,
2009-10,1.887,
2010-01,1.934,
2010-04,1.972,
2010-07,2.027,
2010-10,1.989,
2011-01,2.153,
2011-04,2.094,
2011-07,2.252,
2011-10,2.648,
2012-01,2.630,
2012-04,2.643,
2012-07,2.523,
2012-10,2.034,
2013-01,2.012,
2013-04,1.974,
2013-07,2.152,
2013-10,2.187,
2014-01,2.083,
2014-04,2.328,
2014-07,2.275,
