"",BBK01.CEF6C0,BBK01.CEF6C0_FLAGS
"","Insurance, pension an standardised guarantee schemes  debtor: General government                                creditor: Total",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:52,
1999-01,0.0,
1999-04,0.0,
1999-07,0.0,
1999-10,0.0,
2000-01,0.0,
2000-04,0.0,
2000-07,0.0,
2000-10,0.0,
2001-01,0.1,
2001-04,0.1,
2001-07,0.1,
2001-10,0.1,
2002-01,0.2,
2002-04,0.2,
2002-07,0.2,
2002-10,0.3,
2003-01,0.3,
2003-04,0.3,
2003-07,0.4,
2003-10,0.4,
2004-01,0.4,
2004-04,0.5,
2004-07,0.5,
2004-10,0.5,
2005-01,0.6,
2005-04,0.6,
2005-07,0.7,
2005-10,0.7,
2006-01,0.7,
2006-04,0.8,
2006-07,0.8,
2006-10,0.8,
2007-01,0.9,
2007-04,0.9,
2007-07,0.9,
2007-10,1.0,
2008-01,1.0,
2008-04,1.0,
2008-07,1.0,
2008-10,1.1,
2009-01,1.1,
2009-04,1.1,
2009-07,1.2,
2009-10,1.2,
2010-01,1.3,
2010-04,1.3,
2010-07,1.3,
2010-10,1.4,
2011-01,1.4,
2011-04,1.4,
2011-07,1.4,
2011-10,1.5,
2012-01,1.5,
2012-04,1.5,
2012-07,1.5,
2012-10,1.6,
2013-01,1.6,
2013-04,1.6,
2013-07,1.6,
2013-10,1.7,
2014-01,1.7,
2014-04,1.7,
2014-07,1.7,
