"",BBFN1.M.DE.N.1.A.G9.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.G9.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Other European countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:16,
1995-01,16.177,
1995-02,16.035,
1995-03,16.324,
1995-04,16.533,
1995-05,16.645,
1995-06,16.715,
1995-07,17.067,
1995-08,17.206,
1995-09,17.488,
1995-10,17.105,
1995-11,17.428,
1995-12,16.826,
1996-01,17.237,
1996-02,17.295,
1996-03,18.291,
1996-04,18.003,
1996-05,18.141,
1996-06,18.737,
1996-07,18.210,
1996-08,17.652,
1996-09,18.434,
1996-10,18.739,
1996-11,18.987,
1996-12,18.404,
1997-01,19.033,
1997-02,19.765,
1997-03,20.551,
1997-04,20.510,
1997-05,20.561,
1997-06,21.284,
1997-07,21.407,
1997-08,21.748,
1997-09,21.872,
1997-10,22.839,
1997-11,22.990,
1997-12,22.276,
1998-01,22.124,
1998-02,23.026,
1998-03,23.474,
1998-04,24.364,
1998-05,24.966,
1998-06,24.665,
1998-07,25.248,
1998-08,25.421,
1998-09,25.464,
1998-10,25.873,
1998-11,26.339,
1998-12,26.279,
1999-01,25.470,
1999-02,25.861,
1999-03,27.288,
1999-04,26.881,
1999-05,27.353,
1999-06,27.588,
1999-07,29.153,
1999-08,29.271,
1999-09,29.795,
1999-10,29.233,
1999-11,29.407,
1999-12,28.760,
2000-01,29.320,
2000-02,29.878,
2000-03,30.698,
2000-04,30.006,
2000-05,29.728,
2000-06,30.797,
2000-07,30.593,
2000-08,31.513,
2000-09,32.203,
2000-10,32.898,
2000-11,33.096,
2000-12,31.741,
2001-01,31.852,
2001-02,32.261,
2001-03,32.831,
2001-04,33.520,
2001-05,33.564,
2001-06,34.301,
2001-07,33.570,
2001-08,33.181,
2001-09,34.385,
2001-10,35.191,
2001-11,35.365,
2001-12,34.510,
2002-01,32.718,
2002-02,32.744,
2002-03,31.668,
2002-04,32.784,
2002-05,33.062,
2002-06,33.627,
2002-07,33.291,
2002-08,33.483,
2002-09,33.767,
2002-10,34.438,
2002-11,34.322,
2002-12,33.233,
2003-01,34.360,
2003-02,34.599,
2003-03,36.500,
2003-04,36.470,
2003-05,36.298,
2003-06,36.965,
2003-07,36.496,
2003-08,35.448,
2003-09,35.822,
2003-10,36.405,
2003-11,37.976,
2003-12,35.890,
2004-01,35.727,
2004-02,37.869,
2004-03,39.655,
2004-04,39.829,
2004-05,27.846,
2004-06,28.739,
2004-07,29.303,
2004-08,27.155,
2004-09,27.750,
2004-10,27.559,
2004-11,28.057,
2004-12,25.455,
2005-01,25.481,
2005-02,25.277,
2005-03,26.524,
2005-04,26.681,
2005-05,26.806,
2005-06,27.495,
2005-07,27.087,
2005-08,26.923,
2005-09,28.784,
2005-10,30.247,
2005-11,31.975,
2005-12,31.146,
2006-01,30.881,
2006-02,31.211,
2006-03,30.692,
2006-04,31.918,
2006-05,31.742,
2006-06,30.756,
2006-07,31.928,
2006-08,31.242,
2006-09,33.015,
2006-10,34.160,
2006-11,34.760,
2006-12,33.689,
2007-01,32.011,
2007-02,32.983,
2007-03,34.557,
2007-04,33.130,
2007-05,34.458,
2007-06,34.355,
2007-07,34.782,
2007-08,34.005,
2007-09,35.451,
2007-10,36.138,
2007-11,35.842,
2007-12,35.547,
2008-01,35.775,
2008-02,36.442,
2008-03,37.064,
2008-04,38.849,
2008-05,39.918,
2008-06,40.272,
2008-07,41.076,
2008-08,40.060,
2008-09,42.947,
2008-10,43.637,
2008-11,43.983,
2008-12,41.651,
2009-01,40.121,
2009-02,40.733,
2009-03,40.431,
2009-04,41.992,
2009-05,42.861,
2009-06,43.627,
2009-07,43.064,
2009-08,42.353,
2009-09,43.526,
2009-10,43.649,
2009-11,44.471,
2009-12,43.090,
2010-01,43.172,
2010-02,44.390,
2010-03,46.200,
2010-04,47.288,
2010-05,47.057,
2010-06,49.438,
2010-07,49.412,
2010-08,49.022,
2010-09,49.519,
2010-10,50.840,
2010-11,51.134,
2010-12,49.566,
2011-01,50.791,
2011-02,50.036,
2011-03,52.569,
2011-04,51.910,
2011-05,53.665,
2011-06,53.306,
2011-07,54.011,
2011-08,58.066,
2011-09,60.667,
2011-10,62.598,
2011-11,62.150,
2011-12,57.095,
2012-01,57.119,
2012-02,59.087,
2012-03,62.796,
2012-04,62.501,
2012-05,64.714,
2012-06,68.888,
2012-07,69.138,
2012-08,68.871,
2012-09,69.028,
2012-10,68.035,
2012-11,68.473,
2012-12,16.745,
2013-01,17.054,
2013-02,17.001,
2013-03,17.398,
2013-04,17.624,
2013-05,17.576,
2013-06,18.090,
2013-07,16.458,
2013-08,16.197,
2013-09,16.203,
2013-10,16.925,
2013-11,17.281,
2013-12,15.781,
2014-01,16.049,
2014-02,16.206,
2014-03,16.458,
2014-04,16.388,
2014-05,16.634,
2014-06,16.794,
2014-07,16.891,
2014-08,16.399,
2014-09,16.420,
2014-10,16.299,
2014-11,15.717,
2014-12,14.388,
"","General: Up to April 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Bulgaria and Romania.",
