"",BBK01.DQ7836,BBK01.DQ7836_FLAGS
"","Pay rates, production sector (incl. construction) all items excluding one-off payments, on a monthly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:14,
1991-01,47.7,
1991-04,50.0,
1991-07,59.1,
1991-10,62.3,
1992-01,52.4,
1992-04,56.9,
1992-07,66.4,
1992-10,70.7,
1993-01,58.2,
1993-04,60.0,
1993-07,70.4,
1993-10,75.1,
1994-01,61.2,
1994-04,61.9,
1994-07,72.1,
1994-10,76.7,
1995-01,63.5,
1995-04,65.1,
1995-07,75.9,
1995-10,81.4,
1996-01,67.0,
1996-04,67.4,
1996-07,78.5,
1996-10,83.2,
1997-01,68.4,
1997-04,68.8,
1997-07,79.9,
1997-10,83.8,
1998-01,69.2,
1998-04,70.2,
1998-07,81.6,
1998-10,85.6,
1999-01,71.1,
1999-04,72.2,
1999-07,84.1,
1999-10,87.8,
2000-01,72.8,
2000-04,73.8,
2000-07,86.0,
2000-10,89.7,
2001-01,74.5,
2001-04,75.3,
2001-07,87.7,
2001-10,91.6,
2002-01,75.8,
2002-04,76.8,
2002-07,89.7,
2002-10,94.1,
2003-01,77.9,
2003-04,79.0,
2003-07,92.1,
2003-10,96.1,
2004-01,79.8,
2004-04,80.4,
2004-07,93.4,
2004-10,97.3,
2005-01,80.7,
2005-04,81.2,
2005-07,94.6,
2005-10,98.6,
2006-01,81.5,
2006-04,82.3,
2006-07,96.3,
2006-10,100.9,
2007-01,83.2,
2007-04,84.4,
2007-07,99.5,
2007-10,104.3,
2008-01,85.9,
2008-04,87.3,
2008-07,101.6,
2008-10,107.0,
2009-01,88.6,
2009-04,90.4,
2009-07,104.8,
2009-10,110.3,
2010-01,91.0,
2010-04,91.9,
2010-07,105.7,
2010-10,111.4,
2011-01,91.8,
2011-04,94.0,
2011-07,108.5,
2011-10,114.3,
2012-01,94.5,
2012-04,97.3,
2012-07,112.3,
2012-10,118.5,
2013-01,97.8,
2013-04,99.7,
2013-07,115.8,
2013-10,122.1,
2014-01,101.0,
2014-04,103.3,
2014-07,118.8,
2014-10,125.4,
