"",BBK01.PC3784,BBK01.PC3784_FLAGS
"",Lending to craft trades / Short-term / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:52,
1985-10,0.027,
1986-01,0.051,
1986-04,0.045,
1986-07,0.046,
1986-10,0.040,
1987-01,0.053,
1987-04,0.050,
1987-07,0.037,
1987-10,0.038,
1988-01,0.045,
1988-04,0.048,
1988-07,0.044,
1988-10,0.054,
1989-01,0.089,
1989-04,0.045,
1989-07,0.032,
1989-10,0.020,
1990-01,0.030,
1990-04,0.036,
1990-07,0.041,
1990-10,0.039,
1991-01,0.027,
1991-04,0.032,
1991-07,0.037,
1991-10,0.019,
1992-01,0.021,
1992-04,0.030,
1992-07,0.021,
1992-10,0.238,
1993-01,0.234,
1993-04,0.246,
1993-07,0.230,
1993-10,0.206,
1994-01,0.218,
1994-04,0.209,
1994-07,0.225,
1994-10,0.253,
1995-01,0.233,
1995-04,0.233,
1995-07,0.217,
1995-10,0.252,
1996-01,0.215,
1996-04,0.239,
1996-07,0.193,
1996-10,0.191,
1997-01,0.192,
1997-04,0.200,
1997-07,0.147,
1997-10,0.138,
1998-01,0.147,
1998-04,0.164,
1998-07,0.146,
1998-10,0.135,
1999-01,0.111,
1999-04,0.202,
1999-07,0.178,
1999-10,0.145,
2000-01,0.161,
2000-04,0.136,
2000-07,0.078,
2000-10,0.119,
2001-01,0.109,
2001-04,0.100,
2001-07,0.087,
2001-10,0.091,
2002-01,0.095,
2002-04,0.082,
2002-07,0.074,
2002-10,0.078,
2003-01,0.091,
2003-04,0.079,
2003-07,0.078,
2003-10,0.093,
2004-01,0.119,
2004-04,0.123,
2004-07,0.007,
2004-10,0.218,
2005-01,0.243,
2005-04,0.267,
2005-07,0.291,
2005-10,0.442,
2006-01,0.413,
2006-04,0.406,
2006-07,0.429,
2006-10,0.398,
2007-01,0.375,
2007-04,0.358,
2007-07,0.298,
2007-10,0.299,
2008-01,0.297,
2008-04,0.364,
2008-07,0.392,
2008-10,0.425,
2009-01,0.384,
2009-04,0.314,
2009-07,0.198,
2009-10,0.181,
2010-01,0.237,
2010-04,0.230,
2010-07,0.183,
2010-10,0.174,
2011-01,0.258,
2011-04,0.288,
2011-07,0.273,
2011-10,0.272,
2012-01,0.259,
2012-04,0.263,
2012-07,0.237,
2012-10,0.247,
2013-01,0.244,
2013-04,0.229,
2013-07,0.278,
2013-10,0.325,
2014-01,0.271,
2014-04,0.343,
2014-07,0.321,
2014-10,0.326,
