"",BBK01.OEHB14V,BBK01.OEHB14V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:44,
2002-01,0.677,
2002-04,0.704,
2002-07,0.709,
2002-10,0.725,
2003-01,0.752,
2003-04,0.774,
2003-07,0.780,
2003-10,0.745,
2004-01,0.687,
2004-04,0.680,
2004-07,0.675,
2004-10,0.639,
2005-01,0.638,
2005-04,0.616,
2005-07,0.571,
2005-10,0.598,
2006-01,0.564,
2006-04,0.520,
2006-07,0.453,
2006-10,0.458,
2007-01,0.431,
2007-04,0.437,
2007-07,0.416,
2007-10,0.439,
2008-01,0.400,
2008-04,0.384,
2008-07,0.374,
2008-10,0.358,
2009-01,0.396,
2009-04,0.387,
2009-07,0.372,
2009-10,0.372,
2010-01,0.327,
2010-04,0.306,
2010-07,0.278,
2010-10,0.276,
2011-01,0.285,
2011-04,0.287,
2011-07,0.268,
2011-10,0.255,
2012-01,0.258,
2012-04,0.254,
2012-07,0.237,
2012-10,0.226,
2013-01,0.233,
2013-04,0.228,
2013-07,0.225,
2013-10,0.210,
2014-01,0.209,
2014-04,0.207,
2014-07,0.204,
