"",BBK01.OEXO06G,BBK01.OEXO06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:37,
2002-01,29.667,
2002-04,29.995,
2002-07,30.270,
2002-10,33.436,
2003-01,35.327,
2003-04,35.622,
2003-07,36.222,
2003-10,38.397,
2004-01,39.488,
2004-04,39.795,
2004-07,39.864,
2004-10,41.200,
2005-01,5.216,
2005-04,5.309,
2005-07,2.737,
2005-10,2.787,
2006-01,2.709,
2006-04,2.737,
2006-07,2.734,
2006-10,2.838,
2007-01,3.165,
2007-04,3.322,
2007-07,3.488,
2007-10,3.852,
2008-01,3.974,
2008-04,4.029,
2008-07,4.073,
2008-10,4.871,
2009-01,4.744,
2009-04,4.670,
2009-07,4.727,
2009-10,4.382,
2010-01,4.051,
2010-04,3.874,
2010-07,3.775,
2010-10,4.172,
2011-01,4.444,
2011-04,4.379,
2011-07,4.338,
2011-10,4.249,
2012-01,4.091,
2012-04,4.183,
2012-07,4.070,
2012-10,3.870,
2013-01,3.506,
2013-04,3.211,
2013-07,3.149,
2013-10,3.110,
2014-01,3.219,
2014-04,3.137,
2014-07,3.121,
