"",BBK01.OEYM03K,BBK01.OEYM03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:44,
2002-01,2.527,
2002-04,2.541,
2002-07,2.183,
2002-10,2.197,
2003-01,2.020,
2003-04,2.152,
2003-07,2.242,
2003-10,2.285,
2004-01,1.689,
2004-04,1.769,
2004-07,2.939,
2004-10,0.571,
2005-01,0.575,
2005-04,0.546,
2005-07,0.548,
2005-10,0.524,
2006-01,0.575,
2006-04,0.550,
2006-07,0.553,
2006-10,0.567,
2007-01,0.595,
2007-04,0.613,
2007-07,0.624,
2007-10,0.633,
2008-01,0.676,
2008-04,0.676,
2008-07,0.680,
2008-10,0.186,
2009-01,0.096,
2009-04,0.103,
2009-07,0.103,
2009-10,0.098,
2010-01,0.113,
2010-04,0.169,
2010-07,0.181,
2010-10,0.123,
2011-01,0.124,
2011-04,0.156,
2011-07,0.110,
2011-10,0.099,
2012-01,0.109,
2012-04,0.108,
2012-07,0.106,
2012-10,0.097,
2013-01,0.097,
2013-04,0.106,
2013-07,0.155,
2013-10,0.156,
2014-01,0.142,
2014-04,0.115,
2014-07,0.101,
