"",BBFB1.M.N.DE.W1.S1.S1.T.C.G___AD._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.G___AD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Supplementary trade items / To exports / Deductions / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:49,
1991-01,2163.392,
1991-02,2072.073,
1991-03,2017.336,
1991-04,2088.832,
1991-05,2222.131,
1991-06,2144.996,
1991-07,2150.856,
1991-08,2180.013,
1991-09,1823.978,
1991-10,2089.519,
1991-11,2193.127,
1991-12,1835.077,
1992-01,1981.051,
1992-02,2096.743,
1992-03,2202.416,
1992-04,2227.934,
1992-05,1814.605,
1992-06,1938.826,
1992-07,2345.293,
1992-08,1934.270,
1992-09,1977.982,
1992-10,2259.296,
1992-11,2005.092,
1992-12,2519.770,
1993-01,2015.584,
1993-02,2099.935,
1993-03,2115.527,
1993-04,2165.008,
1993-05,2074.462,
1993-06,2301.337,
1993-07,2230.802,
1993-08,2164.660,
1993-09,2260.813,
1993-10,2588.573,
1993-11,2522.435,
1993-12,2779.041,
1994-01,2427.789,
1994-02,2266.356,
1994-03,2343.234,
1994-04,2445.409,
1994-05,2550.190,
1994-06,2478.529,
1994-07,2426.389,
1994-08,2382.332,
1994-09,2419.452,
1994-10,2551.960,
1994-11,2583.949,
1994-12,2837.651,
1995-01,2596.760,
1995-02,2418.003,
1995-03,2579.348,
1995-04,2515.931,
1995-05,2738.401,
1995-06,2463.562,
1995-07,2435.628,
1995-08,2400.335,
1995-09,2424.109,
1995-10,2829.887,
1995-11,2710.703,
1995-12,2501.030,
1996-01,2557.754,
1996-02,2657.558,
1996-03,2569.350,
1996-04,2666.535,
1996-05,3256.815,
1996-06,2428.376,
1996-07,2911.767,
1996-08,2573.796,
1996-09,2519.819,
1996-10,2882.026,
1996-11,3034.328,
1996-12,2885.066,
1997-01,2835.739,
1997-02,2927.893,
1997-03,2795.513,
1997-04,2919.142,
1997-05,2984.553,
1997-06,3127.504,
1997-07,3101.634,
1997-08,2686.276,
1997-09,2927.454,
1997-10,3198.958,
1997-11,3228.762,
1997-12,3215.105,
1998-01,3164.454,
1998-02,3217.944,
1998-03,3537.646,
1998-04,3658.315,
1998-05,3741.626,
1998-06,4065.891,
1998-07,3706.686,
1998-08,3266.794,
1998-09,3254.645,
1998-10,3523.811,
1998-11,3572.765,
1998-12,3743.716,
1999-01,3102.858,
1999-02,3435.625,
1999-03,3592.959,
1999-04,3452.306,
1999-05,3505.717,
1999-06,3894.934,
1999-07,3874.059,
1999-08,2995.915,
1999-09,3326.193,
1999-10,3742.898,
1999-11,4098.203,
1999-12,3866.384,
2000-01,3554.933,
2000-02,3858.975,
2000-03,4325.595,
2000-04,3768.219,
2000-05,4920.195,
2000-06,4380.686,
2000-07,4233.166,
2000-08,4052.798,
2000-09,4301.374,
2000-10,5274.084,
2000-11,5221.699,
2000-12,4326.858,
2001-01,4504.931,
2001-02,4718.505,
2001-03,4816.853,
2001-04,4810.685,
2001-05,4669.144,
2001-06,4581.623,
2001-07,4913.840,
2001-08,5088.561,
2001-09,4448.823,
2001-10,4858.633,
2001-11,5029.727,
2001-12,4371.005,
2002-01,4679.463,
2002-02,5106.537,
2002-03,4587.669,
2002-04,4840.587,
2002-05,3388.533,
2002-06,4846.102,
2002-07,4554.759,
