"",BBFN1.M.DE.N.1.L.BE.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BE.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Belgium,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:29,
1982-09,0.093,
1982-10,0.088,
1982-11,0.095,
1982-12,0.074,
1983-01,0.072,
1983-02,0.073,
1983-03,0.087,
1983-04,0.117,
1983-05,0.122,
1983-06,0.137,
1983-07,0.101,
1983-08,0.075,
1983-09,0.052,
1983-10,0.084,
1983-11,0.083,
1983-12,0.096,
1984-01,0.096,
1984-02,0.106,
1984-03,0.108,
1984-04,0.093,
1984-05,0.083,
1984-06,0.083,
1984-07,0.083,
1984-08,0.072,
1984-09,0.066,
1984-10,0.077,
1984-11,0.051,
1984-12,0.047,
1985-01,0.046,
1985-02,0.046,
1985-03,0.051,
1985-04,0.056,
1985-05,0.055,
1985-06,0.058,
1985-07,0.057,
1985-08,0.053,
1985-09,0.054,
1985-10,0.052,
1985-11,0.052,
1985-12,0.042,
1986-01,0.062,
1986-02,0.062,
1986-03,0.072,
1986-04,0.097,
1986-05,0.097,
1986-06,0.097,
1986-07,0.140,
1986-08,0.140,
1986-09,0.140,
1986-10,0.159,
1986-11,0.035,
1986-12,0.036,
1987-01,0.043,
1987-02,0.043,
1987-03,0.043,
1987-04,0.043,
1987-05,0.043,
1987-06,0.043,
1987-07,0.042,
1987-08,0.043,
1987-09,0.044,
1987-10,0.043,
1987-11,0.043,
1987-12,0.046,
1988-01,0.045,
1988-02,0.045,
1988-03,0.045,
1988-04,0.052,
1988-05,0.053,
1988-06,0.052,
1988-07,0.052,
1988-08,0.052,
1988-09,0.051,
1988-10,0.052,
1988-11,0.050,
1988-12,0.051,
1989-01,0.046,
1989-02,0.046,
1989-03,0.059,
1989-04,0.059,
1989-05,0.059,
1989-06,0.058,
1989-07,0.058,
1989-08,0.063,
1989-09,0.063,
1989-10,0.063,
1989-11,0.064,
1989-12,0.063,
1990-01,0.060,
1990-02,0.043,
1990-03,0.043,
1990-04,0.043,
1990-05,0.045,
1990-06,0.071,
1990-07,0.078,
1990-08,0.076,
1990-09,0.077,
1990-10,0.112,
1990-11,0.112,
1990-12,0.098,
1991-01,0.098,
1991-02,0.133,
1991-03,0.132,
1991-04,0.137,
1991-05,0.137,
1991-06,0.137,
1991-07,0.144,
1991-08,0.146,
1991-09,0.161,
1991-10,0.143,
1991-11,0.189,
1991-12,0.183,
1992-01,0.192,
1992-02,0.243,
1992-03,0.451,
1992-04,0.453,
1992-05,0.450,
1992-06,0.450,
1992-07,0.434,
1992-08,0.434,
1992-09,0.461,
1992-10,0.457,
1992-11,0.397,
1992-12,0.394,
1993-01,0.392,
1993-02,0.392,
1993-03,0.392,
1993-04,0.392,
1993-05,0.474,
1993-06,0.458,
1993-07,0.427,
1993-08,0.423,
1993-09,0.423,
1993-10,0.407,
1993-11,0.372,
1993-12,0.373,
1994-01,0.373,
1994-02,0.387,
1994-03,0.386,
1994-04,0.363,
1994-05,0.360,
1994-06,0.366,
1994-07,0.387,
1994-08,0.387,
1994-09,0.387,
1994-10,0.383,
1994-11,0.369,
1994-12,0.335,
1995-01,0.192,
1995-02,0.161,
1995-03,0.155,
1995-04,0.158,
1995-05,0.159,
1995-06,0.065,
1995-07,0.065,
1995-08,0.065,
1995-09,0.051,
1995-10,0.073,
1995-11,0.072,
1995-12,0.069,
1996-01,0.058,
1996-02,0.058,
1996-03,0.057,
1996-04,0.127,
1996-05,0.128,
1996-06,0.071,
1996-07,0.077,
1996-08,0.079,
1996-09,0.060,
1996-10,0.060,
1996-11,0.060,
