"",BBK01.OEAM09H,BBK01.OEAM09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:02,
2002-01,0.172,
2002-04,0.150,
2002-07,0.147,
2002-10,0.137,
2003-01,0.093,
2003-04,0.087,
2003-07,0.082,
2003-10,0.087,
2004-01,0.107,
2004-04,0.116,
2004-07,0.159,
2004-10,0.209,
2005-01,0.207,
2005-04,0.187,
2005-07,0.184,
2005-10,0.164,
2006-01,0.152,
2006-04,0.158,
2006-07,0.142,
2006-10,0.152,
2007-01,0.143,
2007-04,0.127,
2007-07,0.133,
2007-10,0.119,
2008-01,0.111,
2008-04,0.103,
2008-07,0.093,
2008-10,0.096,
2009-01,0.136,
2009-04,0.169,
2009-07,0.220,
2009-10,0.268,
2010-01,0.261,
2010-04,0.258,
2010-07,0.234,
2010-10,0.215,
2011-01,0.193,
2011-04,0.175,
2011-07,0.151,
2011-10,0.128,
2012-01,0.133,
2012-04,0.120,
2012-07,0.142,
2012-10,0.146,
2013-01,0.145,
2013-04,0.171,
2013-07,0.210,
2013-10,0.248,
2014-01,0.252,
2014-04,0.246,
2014-07,0.237,
