"",BBK01.OEBB09V,BBK01.OEBB09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:12,
2002-01,7.468,
2002-04,7.605,
2002-07,7.671,
2002-10,7.444,
2003-01,7.124,
2003-04,6.860,
2003-07,6.992,
2003-10,6.924,
2004-01,6.915,
2004-04,6.785,
2004-07,6.857,
2004-10,6.330,
2005-01,6.268,
2005-04,6.210,
2005-07,6.066,
2005-10,5.908,
2006-01,5.897,
2006-04,6.237,
2006-07,6.096,
2006-10,6.278,
2007-01,6.090,
2007-04,6.045,
2007-07,6.107,
2007-10,6.449,
2008-01,6.552,
2008-04,6.689,
2008-07,6.990,
2008-10,6.903,
2009-01,6.838,
2009-04,8.407,
2009-07,8.299,
2009-10,8.531,
2010-01,8.309,
2010-04,8.226,
2010-07,7.082,
2010-10,7.077,
2011-01,7.442,
2011-04,7.539,
2011-07,7.712,
2011-10,7.656,
2012-01,7.647,
2012-04,7.732,
2012-07,7.766,
2012-10,7.915,
2013-01,8.072,
2013-04,7.863,
2013-07,7.928,
2013-10,7.975,
2014-01,8.038,
2014-04,8.572,
2014-07,8.494,
