"",BBK01.OEAH06G,BBK01.OEAH06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:07,
2002-01,3.504,
2002-04,3.492,
2002-07,3.394,
2002-10,3.340,
2003-01,3.325,
2003-04,3.089,
2003-07,3.017,
2003-10,2.959,
2004-01,2.885,
2004-04,2.700,
2004-07,2.479,
2004-10,2.626,
2005-01,1.524,
2005-04,1.573,
2005-07,1.426,
2005-10,1.714,
2006-01,1.720,
2006-04,1.756,
2006-07,1.929,
2006-10,2.195,
2007-01,2.371,
2007-04,2.761,
2007-07,3.074,
2007-10,4.102,
2008-01,5.069,
2008-04,5.264,
2008-07,5.646,
2008-10,5.528,
2009-01,4.166,
2009-04,5.003,
2009-07,5.055,
2009-10,5.511,
2010-01,5.328,
2010-04,4.952,
2010-07,4.992,
2010-10,5.388,
2011-01,5.561,
2011-04,5.545,
2011-07,6.483,
2011-10,7.041,
2012-01,6.989,
2012-04,7.039,
2012-07,6.375,
2012-10,7.244,
2013-01,7.812,
2013-04,6.846,
2013-07,5.866,
2013-10,5.721,
2014-01,5.684,
2014-04,5.673,
2014-07,5.532,
